strategy,alloc_key,ticker,entry_date,exit_date,days_held,exit_type,contracts,risk_per_pos,mlpc,net_pnl_1ct,pnl_dollars,roc_pct,is_win,vix_on_entry
GLD Put Calendar,GLD calendar,GLD,2025-05-09,2025-05-20,11,profit_take,8,622.4283562207651,75.0,0.3000000000000007,2.4000000000000057,40.0000000000001,True,21.9
GLD Put Calendar,GLD calendar,GLD,2025-05-16,2025-06-06,21,expiry,9,622.4283562207651,65.00000000000003,-0.28500000000000014,-2.5650000000000013,-43.84615384615385,False,17.24
GLD Put Calendar,GLD calendar,GLD,2025-05-23,2025-06-02,10,profit_take,8,622.4283562207651,75.0,0.20000000000000018,1.6000000000000014,26.66666666666669,True,22.29
GLD Put Calendar,GLD calendar,GLD,2025-06-06,2025-06-17,11,profit_take,11,622.4283562207651,54.999999999999986,0.16500000000000004,1.8150000000000004,30.000000000000014,True,16.77
GLD Put Calendar,GLD calendar,GLD,2025-06-13,2025-06-23,10,profit_take,7,622.4283562207651,79.99999999999999,0.22499999999999964,1.5749999999999975,28.12499999999996,True,20.82
GLD Put Calendar,GLD calendar,GLD,2025-06-20,2025-07-07,17,profit_take,8,622.4283562207651,72.50000000000006,0.2999999999999994,2.399999999999995,41.379310344827466,True,20.62
GLD Put Calendar,GLD calendar,GLD,2025-06-27,2025-07-08,11,profit_take,11,622.4283562207651,54.999999999999986,0.15000000000000036,1.650000000000004,27.272727272727348,True,16.32
GLD Put Calendar,GLD calendar,GLD,2025-07-11,2025-07-21,10,profit_take,9,622.4283562207651,62.5,0.1649999999999996,1.4849999999999963,26.399999999999935,True,16.4
GLD Put Calendar,GLD calendar,GLD,2025-07-18,2025-07-29,11,profit_take,9,622.4283562207651,65.00000000000003,0.22499999999999964,2.024999999999997,34.61538461538454,True,16.41
GLD Put Calendar,GLD calendar,GLD,2025-07-25,2025-08-04,10,profit_take,10,622.4283562207651,60.00000000000006,0.16999999999999948,1.6999999999999948,28.333333333333222,True,14.93
GLD Put Calendar,GLD calendar,GLD,2025-08-01,2025-08-08,7,profit_take,11,622.4283562207651,54.999999999999986,0.1499999999999999,1.649999999999999,27.272727272727266,True,20.38
GLD Put Calendar,GLD calendar,GLD,2025-08-08,2025-08-22,14,profit_take,10,622.4283562207651,57.49999999999993,0.2750000000000008,2.750000000000008,47.826086956521934,True,15.15
GLD Put Calendar,GLD calendar,GLD,2025-08-29,2025-09-19,21,expiry,10,622.4283562207651,60.00000000000006,-0.5550000000000006,-5.550000000000006,-92.50000000000001,False,15.36
GLD Put Calendar,GLD calendar,GLD,2025-09-05,2025-09-26,21,expiry,15,622.4283562207651,39.99999999999994,-0.3349999999999991,-5.024999999999986,-83.74999999999989,False,15.18
GLD Put Calendar,GLD calendar,GLD,2025-09-26,2025-10-17,21,expiry,8,622.4283562207651,75.0,-0.5899999999999999,-4.719999999999999,-78.66666666666666,False,15.29
GLD Put Calendar,GLD calendar,GLD,2025-10-03,2025-10-21,18,profit_take,7,622.4283562207651,87.5,0.34999999999999964,2.4499999999999975,39.99999999999996,True,16.65
GLD Put Calendar,GLD calendar,GLD,2025-10-17,2025-11-07,21,expiry,4,622.4283562207651,132.5000000000001,-10.975000000000001,-43.900000000000006,-828.3018867924524,False,20.78
GLD Put Calendar,GLD calendar,GLD,2025-10-24,2025-11-10,17,profit_take,6,622.4283562207651,100.0,0.875,5.25,87.5,True,16.37
GLD Put Calendar,GLD calendar,GLD,2025-11-07,2025-11-14,7,profit_take,6,622.4283562207651,97.49999999999997,0.27500000000000036,1.6500000000000021,28.20512820512825,True,19.08
GLD Put Calendar,GLD calendar,GLD,2025-11-14,2025-11-24,10,profit_take,5,622.4283562207651,117.50000000000007,0.3249999999999993,1.6249999999999964,27.65957446808503,True,19.83
GLD Put Calendar,GLD calendar,GLD,2025-11-21,2025-12-12,21,expiry,5,622.4283562207651,104.99999999999999,-0.6950000000000003,-3.4750000000000014,-66.19047619047623,False,23.43
GLD Put Calendar,GLD calendar,GLD,2025-11-28,2025-12-10,12,profit_take,8,622.4283562207651,77.49999999999986,0.2500000000000018,2.000000000000014,32.25806451612932,True,16.35
