delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,put_entry_delta,put_entry_mid,put_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.15,30.0,2019-07-05,2019-08-02,28,23.0,-0.1732,0.55,0.52,13.28,2019-07-09,0.265,early,4,28.500000000000004,25.5,0.5181818181818182,0.49038461538461536,515.0000000000001,0.05533980582524271,5.049757281553398,0.02391304347826087,True,False,False,False
0.15,30.0,2019-07-12,2019-08-09,28,22.0,-0.1761,0.505,0.47,12.39,2019-07-31,0.21,early,19,29.500000000000004,26.0,0.5841584158415842,0.5531914893617021,490.50000000000006,0.060142711518858305,1.1553731423359621,0.022954545454545453,True,False,False,False
0.15,30.0,2019-07-19,2019-08-16,28,22.0,-0.1638,0.485,0.46,14.45,2019-08-01,0.18,early,13,30.5,28.000000000000004,0.6288659793814433,0.6086956521739131,488.50000000000006,0.06243602865916069,1.7530115738918193,0.022045454545454545,True,False,False,False
0.15,30.0,2019-07-26,2019-08-23,28,20.0,-0.1801,0.51,0.45,12.16,2019-07-31,0.245,early,5,26.5,20.5,0.5196078431372549,0.45555555555555555,451.0,0.058758314855875834,4.289356984478936,0.025500000000000002,True,False,False,False
0.15,30.0,2019-08-02,2019-08-30,28,23.5,-0.1373,0.665,0.62,17.61,2019-08-05,0.27,early,3,39.5,35.0,0.5939849624060151,0.5645161290322581,536.5,0.07362534948741846,8.95775085430258,0.028297872340425533,True,False,False,False
0.15,30.0,2019-08-09,2019-09-06,28,24.5,-0.153,0.805,0.71,17.97,2019-08-12,0.395,early,3,41.0,31.499999999999993,0.5093167701863354,0.4436619718309858,570.5,0.07186678352322524,8.743791995325738,0.03285714285714286,True,False,False,False
0.15,30.0,2019-08-16,2019-09-13,28,26.0,-0.1437,0.865,0.79,18.47,2019-08-26,0.425,early,10,44.0,36.50000000000001,0.5086705202312138,0.4620253164556963,606.5,0.07254740313272877,2.6479802143446003,0.033269230769230766,True,False,False,False
0.15,30.0,2019-08-23,2019-09-20,28,27.0,-0.1622,1.115,1.06,19.87,2019-09-20,1.62,expiry,28,-50.500000000000014,-56.00000000000001,-0.45291479820627817,-0.5283018867924529,651.5,-0.07751343054489641,-1.0104429338888283,0.041296296296296296,False,False,False,False
0.15,30.0,2019-08-30,2019-09-27,28,25.0,-0.147,0.74,0.66,18.98,2019-09-26,0.155,early,27,58.5,50.5,0.7905405405405406,0.7651515151515151,574.0,0.1019163763066202,1.377758420441347,0.0296,True,False,False,False
0.15,30.0,2019-09-06,2019-10-04,28,23.0,-0.1883,0.78,0.72,15.0,2019-09-25,0.385,early,19,39.5,33.5,0.5064102564102564,0.4652777777777778,538.0,0.07342007434944238,1.4104382703971825,0.03391304347826087,True,False,False,False
0.15,30.0,2019-09-13,2019-10-18,35,20.0,-0.1679,0.7,0.67,13.74,2019-09-25,0.35,early,12,35.0,32.00000000000001,0.5,0.47761194029850756,470.0,0.07446808510638298,2.2650709219858154,0.034999999999999996,True,False,False,False
