date,ticker,dir,conf,action,r1,b_uni1,b_liq1,b_scr1,n_scr1,r3,b_uni3,b_liq3,b_scr3,n_scr3,r5,b_uni5,b_liq5,b_scr5,n_scr5,r10,b_uni10,b_liq10,b_scr10,n_scr10,r20,b_uni20,b_liq20,b_scr20,n_scr20
2026-07-15,CRWV,short,stated,hold,0.05459024896265574,0.005911507794944823,0.0026760862843611976,-0.00046764395001375636,276,0.05264522821576767,0.019392015162903193,0.015649859335339154,0.026219199087309932,276,-0.07157676348547715,0.016700521894745957,0.010505465219489332,0.02630907750965744,275,,,,,0,,,,,0
2026-07-14,SNDK,short,stated,hold,0.0812483644514228,-0.002342843454711139,-0.001008738600477203,-0.008084922315352266,300,0.2292612440409143,0.010608694082881578,0.0070692606073178245,0.0053038861822417,300,0.09581185786940638,0.005781186524994393,0.0027131965957996203,0.010098481528259463,298,,,,,0,,,,,0
2026-07-14,NBIS,short,stated,stopped_out,-0.027925189345149093,-0.002342843454711139,-0.001008738600477203,-0.008084922315352266,300,0.0843938379102478,0.010608694082881578,0.0070692606073178245,0.0053038861822417,300,-0.11762584368076667,0.005781186524994393,0.0027131965957996203,0.010098481528259463,298,,,,,0,,,,,0
2026-07-14,MU,short,stated,hold,0.08019366913499881,-0.002342843454711139,-0.001008738600477203,-0.008084922315352266,300,0.13647367564488566,0.010608694082881578,0.0070692606073178245,0.0053038861822417,300,0.012511188868093326,0.005781186524994393,0.0027131965957996203,0.010098481528259463,298,,,,,0,,,,,0
2026-07-14,LITE,short,stated,stopped_out,0.07707412862052032,-0.002342843454711139,-0.001008738600477203,-0.008084922315352266,300,0.10061364752086388,0.010608694082881578,0.0070692606073178245,0.0053038861822417,300,-0.027933235149729896,0.005781186524994393,0.0027131965957996203,0.010098481528259463,298,,,,,0,,,,,0
2026-07-14,LITE,short,inferred,reentry,0.07707412862052032,-0.002342843454711139,-0.001008738600477203,-0.008084922315352266,300,0.10061364752086388,0.010608694082881578,0.0070692606073178245,0.0053038861822417,300,-0.027933235149729896,0.005781186524994393,0.0027131965957996203,0.010098481528259463,298,,,,,0,,,,,0
2026-07-14,IONQ,short,stated,cover,0.04530414863833043,-0.002342843454711139,-0.001008738600477203,-0.008084922315352266,300,0.11478747772970221,0.010608694082881578,0.0070692606073178245,0.0053038861822417,300,0.09620768643420718,0.005781186524994393,0.0027131965957996203,0.010098481528259463,298,,,,,0,,,,,0
2026-07-13,NET,long,stated,sell,0.04533818127852207,0.0020569216393158374,0.002289819422743208,0.0021326760529688897,744,0.010870775052869819,-0.001964782604992765,5.900052903671273e-05,0.00790696407144611,741,0.010722368567506635,-0.016111550698556236,-0.012790892251460845,-0.003445774474843959,741,,,,,0,,,,,0
2026-07-13,NBIS,long,stated,sell,-0.0780010450809937,0.0020569216393158374,0.002289819422743208,0.0021326760529688897,744,-0.18402926226782568,-0.001964782604992765,5.900052903671273e-05,0.00790696407144611,741,-0.13248776780200455,-0.016111550698556236,-0.012790892251460845,-0.003445774474843959,741,,,,,0,,,,,0
2026-07-13,LITE,short,inferred,short,-0.060730326108181965,-0.0020569216393158374,-0.002289819422743208,0.0012359956523095678,278,0.08060925600468649,0.001964782604992765,-5.900052903671273e-05,-0.004972475974973167,278,0.003384755581592125,0.016111550698556236,0.012790892251460845,0.017925313695495857,277,,,,,0,,,,,0
