entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
CONFIRMED,3.0%,close<20EMA,865,19,97.85067873303167,14.199754400327553,1.899189230459885,3.4472120805317807,-23.49854535479894,0.28256374287108915,0.14669895640275374
CONFIRMED,3.0%,close<50EMA,824,60,93.21266968325791,20.433892754809786,1.7588061144361968,3.0119540198867423,-31.301530715655346,0.2276432691028993,0.09622385714128429
CONFIRMED,3.0%,hold 20d,880,4,99.5475113122172,11.672124437167481,2.145208319494084,4.143304755152322,-18.806336051616725,0.36445414676562343,0.22031429959458446
CONFIRMED,3.0%,target 2R,884,0,100.0,5.8882521489971165,0.9014446004709386,-0.5503771364412602,-15.910262497243055,-0.07266373226364105,-0.034592586799660284
CONFIRMED,3.0%,target 4R,884,0,100.0,9.138354482194053,1.107190852227855,0.5430973480571089,-15.728773062350431,0.09728664752475422,0.034528907366405286
CONFIRMED,5.0%,close<10EMA,867,17,98.07692307692308,8.573357888275066,1.4291458031783537,1.9180620188727904,-16.110272303159412,0.26710381706747727,0.11905832395499832
CONFIRMED,5.0%,close<20EMA,830,54,93.89140271493213,12.063842848373254,1.8517957574879609,3.3091750123849906,-13.157493395660481,0.33657472830533386,0.25150497232827046
CONFIRMED,5.0%,close<50EMA,766,118,86.65158371040724,17.99508901166353,1.9370672425828848,3.535936943543061,-17.147075935406274,0.3104271919230012,0.20621224031800395
CONFIRMED,5.0%,hold 20d,863,21,97.62443438914028,10.014732965009221,1.868168774337674,3.378116752496907,-12.008333273297412,0.3999036605125512,0.28131437357828243
CONFIRMED,5.0%,target 2R,881,3,99.6606334841629,7.748311847759418,1.164125344053158,0.8111524381901658,-12.493191104406009,0.1558279508864909,0.06492756185440039
CONFIRMED,5.0%,target 4R,870,14,98.41628959276018,12.785758133824435,1.2835838283924983,1.336030150093559,-14.409090745706187,0.20058903682979468,0.09272133638909083
CONFIRMED,bar low,close<10EMA,840,19,97.78812572759023,8.221971484715034,1.1356596376865127,0.6791616003131162,-14.290911409481478,0.13980076841562328,0.047524022845912985
