universe,slots,entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
BROAD,10,REQ-only,20EMA,target 4R,1512,107516,1.386799721172543,57.65804514401115,1.2920901811361936,1.3057515693289279,-32.68616437187352,0.19130101131893368,0.03994814302691718
BROAD,10,REQ-only,3.0%,close<50EMA,2699,107332,2.452945079114068,92.18482252141949,0.44601427069097704,-4.074770254013749,-67.14524914680473,-0.24435340931738003,-0.060685905641734546
BROAD,10,REQ-only,3.0%,hold 20d,4893,105138,4.446928592851106,95.84047327621363,0.3873442852463753,-4.90929588265816,-75.45574603717209,-0.24451950408383888,-0.06506192225890488
BROAD,10,REQ-only,3.0%,target 4R,3072,106959,2.7919404531450227,94.74296205630321,0.9004199708939242,-0.5452211735677004,-56.462019132926464,0.0015608647615715592,-0.00965642359130137
BROAD,20,BOTH,2.0ATR,close<50EMA,1513,719,67.78673835125448,29.363991429928504,1.1295090785270006,0.6381297385407603,-30.677259600988116,0.0990323215279373,0.020801393176599323
BROAD,20,BOTH,2.0ATR,hold 20d,1885,347,84.45340501792114,17.421120173519558,0.8398656607050062,-0.9263861071025392,-31.17962447617939,-0.09735920874636002,-0.029711265695655818
BROAD,20,BOTH,2.0ATR,target 4R,1525,707,68.32437275985663,31.67702311129498,1.2618834823061609,1.2188548494207918,-31.853980168968988,0.15764735222042334,0.03826381641965599
BROAD,20,BOTH,20EMA,close<50EMA,1392,831,62.61808367071525,23.369289315577394,1.2237583916160892,1.056191218935587,-23.49402521929096,0.16694497169584263,0.04495573700450222
BROAD,20,BOTH,20EMA,hold 20d,1836,387,82.5910931174089,14.358117804249698,0.9938653273660625,-0.03270255855029047,-25.56105136241591,0.017595012598461336,-0.0012793901974773694
BROAD,20,BOTH,20EMA,target 4R,1075,1148,48.358074673864145,29.760393706063777,2.3522864268164,4.433621753620232,-16.898356012354,0.5874961797741288,0.26237000512824515
BROAD,20,BOTH,3.0%,close<50EMA,1660,573,74.33945364979847,32.49438202247164,0.3444577109055074,-5.394463842968555,-74.63575607904697,-0.2523659510361774,-0.07227720500687715
BROAD,20,BOTH,3.0%,hold 20d,1952,281,87.41603224361845,21.89581205311566,0.19032058358861045,-8.440654425485405,-82.40734857956828,-0.734854643175976,-0.10242599198948314
BROAD,20,BOTH,3.0%,target 4R,2026,207,90.72995969547694,18.872318692543708,0.1870419249401076,-8.534689970717713,-82.11592614231627,-0.8447441989611113,-0.10393464911941834
BROAD,20,BREAKOUT,2.0ATR,close<50EMA,2967,8406,26.088103402796097,56.99329653565955,1.1014420851788236,0.5052218392028074,-53.368775174161165,0.0836436211827561,0.009466618590254133
