tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
HYG,78.655,1.406917207864912,0.0405,24.519230769230766,11.0,0.65,167.74193548387092,2.0,,False,True,False,,,,,athena,24.519230769230766,True,43.84346520102603,True,False
IAU,81.565,1.1687010999134202,0.2037,38.38383838383838,11.0,2.45,72.3404255319149,46.0,,False,False,False,,,,,athena,38.38383838383838,False,48.11233164362317,True,False
IBB,207.31,1.1836867144293002,0.2059,,,,,,,False,False,False,,,,,none,,False,53.603063330473994,True,False
IBM,230.42000000000002,0.7982651966012706,0.448,85.28138528138528,,,,,30.0,False,False,False,,,,,athena,85.28138528138528,False,,True,False
INTC,119.28,0.9376072464669587,0.6907,68.83116883116884,,,,,32.0,False,False,False,,,,,athena,68.83116883116884,False,,True,False
INTU,300.33500000000004,1.1366681981702462,0.4564,96.17834394904459,11.0,19.85,12.56038647342996,13.0,60.0,False,False,True,,,,,athena,96.17834394904459,False,36.94803705607289,True,False
IOT,38.790000000000006,1.1596061322768543,0.5401,57.43589743589743,11.0,3.475,70.76923076923077,1.0,74.0,False,False,False,,,,,athena,57.43589743589743,False,47.59917551069746,True,False
ISRG,393.775,0.8959829425407406,0.4117,78.53658536585367,,,,,30.0,False,False,False,,,,,athena,78.53658536585367,False,,True,False
IVV,771.05,1.1885738930307974,0.1221,28.703703703703702,11.0,11.85,40.6779661016949,0.0,,False,False,False,,,,,athena,28.703703703703702,True,56.03168138770558,True,False
IYR,98.685,1.1475745330052896,0.132,10.465116279069768,11.0,2.1,74.28571428571428,0.0,,False,False,False,,,,,athena,10.465116279069768,True,36.098276098546364,True,False
JETS,28.505000000000003,0.937896498118635,0.3559,55.00000000000001,,,,,,False,False,False,,,,,athena,55.00000000000001,False,,True,False
JNJ,271.64,0.9628664191953645,0.2642,88.07339449541286,,,,,22.0,False,False,False,,,,,athena,88.07339449541286,False,,True,False
JNUG,175.635,1.0461254268762492,0.9449,,,,,,,False,False,False,,,,,none,,False,,True,False
JPM,351.58000000000004,0.9953858913763792,0.2386,51.515151515151516,,,,,22.0,False,False,False,,,,,athena,51.515151515151516,False,,True,False
KGC,27.595,1.0185192626183677,0.4686,41.83673469387755,11.0,1.97,45.398773006134974,35.0,37.0,False,False,False,,,,,athena,41.83673469387755,False,,True,False
KKR,99.52,1.1869747175704366,0.3687,34.76190476190476,11.0,6.0249999999999995,26.865671641791046,2.0,46.0,False,False,False,,,,,athena,34.76190476190476,False,41.351328372028334,True,False
KLAC,180.07,1.0261473904264058,0.5623,,11.0,13.95,9.52380952380953,5.0,38.0,False,False,True,,,,,none,,False,,True,False
KMI,31.634999999999998,1.0245937462124406,0.2481,48.93617021276596,11.0,1.125,28.169014084507054,280.0,31.0,False,False,False,,,,,athena,48.93617021276596,False,,True,False
KO,87.815,1.2012044204535997,0.174,52.112676056338024,11.0,2.2800000000000002,8.474576271186448,351.0,30.0,False,True,True,18.414429,53.6,2026-09-21,251.0,ib,53.6,False,50.568435777796466,True,False
KOLD,29.369999999999997,1.4376536782995155,0.679,4.444444444444445,11.0,2.5999999999999996,60.46511627906976,5.0,,False,True,False,,,,,athena,4.444444444444445,True,51.31750337433951,True,False
KR,60.290000000000006,1.1192093294840213,0.2649,75.81699346405229,11.0,2.335,35.690235690235696,62.0,74.0,False,False,False,,,,,athena,75.81699346405229,False,57.78163708154323,True,False
KVUE,17.545,0.5480798595308567,0.3492,51.9774011299435,,,,,46.0,False,False,False,,,,,athena,51.9774011299435,False,,True,False
LB,85.045,1.0384928202552228,0.527,,,,,,52.0,False,False,False,,,,,none,,False,,True,False
LEN,77.14,1.0350022875035974,0.3614,26.5625,11.0,4.525,43.47826086956521,9.0,87.0,False,False,False,,,,,athena,26.5625,True,,True,False
LITE,969.155,1.094310105018469,0.71,18.0327868852459,11.0,102.3,13.654618473895589,0.0,44.0,False,False,False,,,,,athena,18.0327868852459,True,,True,False
LLY,1158.645,1.2888094936011818,0.3017,27.027027027027028,11.0,55.425,32.26837060702876,23.0,38.0,False,True,False,,,,,athena,27.027027027027028,True,49.367583320931274,True,False
LMT,531.4849999999999,0.9666497817403341,0.2987,85.27131782945736,,,,,30.0,False,False,False,,,,,athena,85.27131782945736,False,,True,False
LNG,269.91,1.0535538064454009,0.2936,62.0253164556962,11.0,13.15,28.57142857142857,10.0,39.0,False,False,False,,,,,athena,62.0253164556962,False,,True,False
LOW,189.18,1.3870456104874362,0.2418,31.57894736842105,11.0,7.9,16.66666666666666,0.0,58.0,False,True,False,,,,,athena,31.57894736842105,False,27.734613493342465,True,False
LRCX,291.94,0.9994644465313408,0.5869,80.0,,,,,31.0,False,False,False,,,,,athena,80.0,False,,True,False
LUMN,6.385,1.1173914563228518,0.6786,24.299065420560748,11.0,0.6,50.98039215686274,453.0,39.0,False,False,False,,,,,athena,24.299065420560748,True,46.0047083462362,True,False
LUNR,15.0,1.1657022464747908,0.8669,21.052631578947366,11.0,1.76,42.85714285714286,8.0,44.0,False,False,False,,,,,athena,21.052631578947366,True,48.815270585997794,True,False
LVS,39.65,0.8948867216087266,0.3434,38.20224719101123,,,,,31.0,False,False,False,,,,,athena,38.20224719101123,False,,True,False
M,21.905,1.4138120970122887,0.3302,9.558823529411764,11.0,1.275,49.23076923076924,147.0,73.0,False,True,False,,,,,athena,9.558823529411764,True,46.136486282016904,True,False
MAR,338.755,1.1656016659574346,0.2291,28.708133971291865,11.0,12.0,47.32824427480916,21.0,44.0,False,False,False,,,,,athena,28.708133971291865,True,45.026276480355264,True,False
MARA,13.385000000000002,1.053316243699177,0.8468,39.66942148760331,11.0,1.595,4.026845637583897,116.0,44.0,False,False,True,,,,,athena,39.66942148760331,False,,True,False
MBLY,8.055,1.039972864622737,0.6151,34.862385321100916,11.0,0.6900000000000001,63.291139240506325,121.0,32.0,False,False,False,,,,,athena,34.862385321100916,False,,True,False
