tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_pctile,ib_iv30,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
HL,18.07,1.1280560211147372,0.6075,30.23255813953488,,,,,50.0,False,False,False,,,,,athena,30.23255813953488,False,42.53809543852529,True,False
HOOD,105.72999999999999,1.0992067162007835,0.6084,24.242424242424242,,,,,50.0,False,False,False,,,,,athena,24.242424242424242,True,,True,False
HPE,57.474999999999994,1.1320689960857246,0.5964,77.08333333333334,,,,,79.0,False,False,False,,,,,athena,77.08333333333334,False,53.93524898657496,True,False
HSBC,101.375,1.0899721100278634,0.2525,59.63302752293578,,,,,41.0,False,False,False,,,,,athena,59.63302752293578,False,,True,False
HSY,171.29500000000002,1.0691327179164345,0.2641,49.35064935064935,,,,,44.0,False,False,False,,,,,athena,49.35064935064935,False,,True,False
HUT,91.04499999999999,1.0552250629371565,0.9064,16.39344262295082,,,,,49.0,False,False,False,,,,,athena,16.39344262295082,True,,True,False
HYG,78.61,1.124236054189403,0.049,37.5,,,,,,False,False,False,,,,,athena,37.5,False,31.80151410148865,True,False
IAU,80.325,1.0277633805539015,0.2393,57.57575757575758,,,,,,False,False,False,,,,,athena,57.57575757575758,False,,True,False
IBB,202.505,1.0479525210727194,0.22,,,,,,,False,False,False,,,,,none,,False,,True,False
IBM,238.45,1.242629111991814,0.3379,75.32467532467533,,,,,35.0,False,True,False,,,,,athena,75.32467532467533,False,50.28356305750137,True,False
INTC,102.68,1.0711614734460677,0.6279,62.77056277056276,,,,,37.0,False,False,False,,,,,athena,62.77056277056276,False,,True,False
INTU,321.56,1.1106957986548605,0.4565,96.17834394904459,,,,,65.0,False,False,False,,,,,athena,96.17834394904459,False,43.461521197569006,True,False
IOT,41.35,1.1498071539654071,0.6017,73.33333333333333,,,,,79.0,False,False,False,,,,,athena,73.33333333333333,False,53.671293162638015,True,False
ISRG,383.0,1.0114346590209138,0.3737,73.17073170731707,,,,,35.0,False,False,False,,,,,athena,73.17073170731707,False,,True,False
IVV,758.995,1.0853522042136587,0.14,48.148148148148145,,,,,,False,False,False,,,,,athena,48.148148148148145,False,,True,False
IYR,98.555,1.3228405720308472,0.1114,2.3255813953488373,,,,,,False,True,False,,,,,athena,2.3255813953488373,True,31.162826524914223,True,False
JETS,27.965,0.9411142829452095,0.357,55.00000000000001,,,,,,False,False,False,,,,,athena,55.00000000000001,False,,True,False
JNJ,267.64,0.9540214150966956,0.2653,88.53211009174312,,,,,27.0,False,False,False,,,,,athena,88.53211009174312,False,,True,False
