i,j,date,sym,ret,held,R,ext,stop_adr,adr,ext_terc,adr_terc,gate
566,545,2021-04-01,ENTG,-5.967249420404686,False,-1.0476715565971664,1.0767010241008952,1.1295451740645568,5.042494500304379,high ext,2,False
566,599,2021-04-01,FBIN,6.549426899834532,False,3.274713449917266,0.006715075682537349,0.4469229524950477,3.063198103422271,low ext,0,True
566,618,2021-04-01,FICO,3.8762715433080075,True,1.7733480476770875,0.3428854084524687,0.612495337270398,3.568760676874193,mid ext,1,False
566,677,2021-04-01,GDDY,2.5499610856519084,True,1.1621143641543705,0.3349943845161934,0.6016259212213866,3.6471879462465675,mid ext,1,False
566,688,2021-04-01,GH,-2.7871467182573606,False,-1.3935733591286803,0.08973431521920644,0.3182438849131683,6.1047544742544355,low ext,2,False
566,793,2021-04-01,ICLR,-4.27408030987062,False,-1.3082822951149518,0.5001084366506201,0.9987068005291809,3.271170695592768,mid ext,0,False
566,806,2021-04-01,INCY,-2.8207429828637,False,-0.8576908172606632,0.27345031526258873,1.0514383679464687,3.127871732618613,mid ext,0,False
566,852,2021-04-01,JLL,-3.088019427765787,False,-1.085335920009115,0.24543683946655656,0.8706309744336899,3.267997633923124,mid ext,0,False
566,859,2021-04-01,KBH,-2.142315458824562,False,-0.8059826229334608,0.15670062485153965,0.48539393492062105,5.4759994737988835,low ext,2,True
566,872,2021-04-01,KLAC,-3.30047539126912,False,-1.1139191929310797,0.8325487853668891,0.6123590477310015,4.838566040208731,high ext,2,False
566,923,2021-04-01,LITE,-1.9463336157962918,False,-0.9731668078981459,0.00684615554530889,0.29025861057157026,3.9450225560278844,low ext,1,True
