sym,entry,exit,how,pct,R,stop10,trail,hot
PH,2011-10-27,2011-11-01,stop,-6.889517836386361,-1.3623183419247873,True,-3.9410945993529767,False
WMB,2011-10-27,2011-10-31,stop,-3.4698618033613293,-1.1333412876585132,True,-3.9410945993529767,False
NOV,2011-10-27,2011-10-31,stop,-4.727704794448839,-1.36694319224414,True,-3.9410945993529767,False
SWK,2011-10-27,2011-10-31,stop,-3.083767729215181,-1.5322646269156586,True,-3.9410945993529767,False
TPR,2011-10-27,2011-11-09,ema,-3.634826411797132,-0.9911151452410741,False,-3.9410945993529767,False
BWA,2011-10-27,2011-11-01,stop,-3.883146431605633,-1.1411472983327389,True,-3.9410945993529767,False
JBL,2011-10-27,2011-10-31,stop,-2.8460570249242534,-1.2174068566295884,True,-3.9410945993529767,False
CRM,2011-10-28,2011-11-01,stop,-6.504547528375348,-1.0878695316524638,True,-3.9410945993529767,False
ULTA,2011-11-04,2011-11-17,stop,-7.217004016884054,-1.260870122457671,True,-4.60477474462017,False
TOL,2011-11-08,2011-11-09,stop,-6.979814248016636,-1.6296234215106002,True,-4.60477474462017,False
LEN,2011-11-16,2011-11-18,stop,-4.002724787534695,-1.0447699714627399,True,-4.614607198522832,False
URI,2011-12-21,2012-01-03,stop,-4.613390367308668,-1.410522857036217,True,-4.06480605507477,False
URI,2012-01-10,2012-03-20,ema,30.493288026071784,7.666665006968689,False,-4.022803202004917,False
PHM,2012-01-11,2012-02-22,ema,7.965681428334559,1.8000028123887615,False,-4.022803202004917,False
LEN,2012-02-03,2012-02-21,ema,-3.6632985303279963,-0.7363623546282207,False,-4.022803202004917,False
MPC,2012-02-03,2012-02-27,stop,-2.7494427812307043,-1.1465083989525349,False,-4.022803202004917,False
DINO,2012-03-08,2012-03-22,ema,-3.9120840902119647,-0.7691767635542314,False,-3.2244634377917087,False
DHI,2012-04-26,2012-05-17,ema,0.08738902366407508,0.09289044995361875,False,-1.5167151500300637,False
AAL,2012-04-26,2012-05-17,ema,3.7718399104278655,1.0263153726911398,False,-1.5167151500300637,False
VRTX,2012-05-14,2012-05-16,stop,-3.423634232899586,-1.0773184625579333,True,-1.5167151500300637,False
EXPE,2012-05-23,2012-06-25,ema,1.4022940715585408,0.22120175120179578,False,-0.9086634570529177,False
CRUS,2012-05-23,2012-06-01,stop,-6.7116354496107755,-1.4031014399753967,True,-0.9086634570529177,False
AAL,2012-05-31,2012-06-04,stop,-15.600123690428235,-2.8732374908643927,True,-0.9086634570529177,False
CRUS,2012-06-18,2012-06-21,stop,-7.074703820678529,-1.1223402366533728,True,-1.5048667160558196,False
TRIP,2012-06-22,2012-07-11,ema,-2.9397591084303953,-0.5787040972107107,False,-1.5141260152704281,False
TOL,2012-06-27,2012-07-25,ema,4.656326694296653,2.3050922788481434,False,-1.2622699911026443,False
DHI,2012-07-02,2012-07-11,stop,-3.596557486399199,-1.968747251998028,True,-1.2622699911026443,False
AAL,2012-07-06,2012-07-18,ema,-3.437714320316987,-0.8035682329071486,False,-1.2622699911026443,False
PHM,2012-07-27,2012-07-30,stop,-3.606779696335194,-1.1081014805683609,True,-0.7910718559249791,False
CRUS,2012-08-03,2012-09-21,ema,10.258460840413107,2.223462294187598,False,-0.7712746013650043,False
PHM,2012-08-09,2012-09-26,ema,20.5164405274207,5.595746748724683,False,-0.7712746013650043,False
STX,2012-08-10,2012-08-30,stop,-5.9518747882499,-1.1939353602201928,False,-0.7712746013650043,False
