edate,pair,regime,credit,width,max_loss,pnl,pnl_gross,cost,exit,days,iv_pct,iv30,vix,vix_pct,roc,roc_gross,win,year,iv_b,vix_b
2019-05-03,0.30/0.15,Bullish_LowIV,0.5949999999999999,4.0,3.4050000000000002,-0.721,-0.68,0.0409999999999999,stop_loss,4,0.46613545816733065,0.15560965676820077,12.87,0.2589641434262948,-0.21174743024963286,-0.19970631424375918,False,2019,30-60,<30
2019-05-10,0.30/0.15,Bullish_LowIV,0.8350000000000001,5.0,4.165,-1.0459999999999998,-0.9749999999999998,0.07100000000000004,stop_loss,3,0.7091633466135459,0.1927928884762555,16.04,0.6294820717131474,-0.25114045618247294,-0.23409363745498193,False,2019,60-80,60-80
2019-05-17,0.30/0.15,Bearish_LowIV,0.795,4.5,3.705,0.7695000000000001,0.795,0.02550000000000001,expiry_win,21,0.6653386454183267,0.18731454467157055,15.96,0.6095617529880478,0.2076923076923077,0.2145748987854251,True,2019,60-80,60-80
2019-05-24,0.30/0.15,Bearish_LowIV,0.73,4.0,3.27,-0.8810000000000002,-0.8450000000000002,0.036000000000000004,stop_loss,7,0.7689243027888446,0.2060589374130179,15.85,0.5896414342629482,-0.2694189602446484,-0.2584097859327218,False,2019,60-80,30-60
2019-05-31,0.30/0.15,Bearish_LowIV,0.88,4.0,3.12,0.857,0.88,0.023000000000000007,expiry_win,21,0.8645418326693227,0.22732635625911501,18.71,0.7410358565737052,0.27467948717948715,0.28205128205128205,True,2019,>=80,60-80
2019-06-07,0.30/0.15,Bearish_LowIV,0.985,5.0,4.015,0.9595,0.985,0.025499999999999953,expiry_win,21,0.6254980079681275,0.19039376441545752,16.3,0.6095617529880478,0.23897882938978832,0.24533001245330013,True,2019,60-80,60-80
2019-06-14,0.30/0.15,Bearish_LowIV,0.7649999999999999,4.0,3.2350000000000003,0.389,0.43999999999999995,0.05099999999999996,profit_take,5,0.5179282868525896,0.17111839727394088,15.28,0.4940239043824701,0.12024729520865532,0.13601236476043274,True,2019,30-60,30-60
2019-06-21,0.30/0.15,Bearish_LowIV,0.6499999999999999,4.0,3.35,0.6269999999999999,0.6499999999999999,0.023000000000000007,expiry_win,21,0.46613545816733065,0.1659342789927363,15.4,0.50199203187251,0.18716417910447758,0.19402985074626863,True,2019,30-60,30-60
2019-06-28,0.30/0.15,Bullish_LowIV,0.7650000000000001,4.5,3.735,0.7445000000000002,0.7650000000000001,0.020500000000000004,expiry_win,21,0.5378486055776892,0.17654545719513842,15.08,0.46613545816733065,0.19933065595716204,0.20481927710843378,True,2019,30-60,30-60
2019-07-05,0.30/0.15,Bullish_LowIV,0.5299999999999999,3.5,2.97,0.5119999999999999,0.5299999999999999,0.018000000000000002,expiry_win,21,0.2788844621513944,0.15091559679410335,13.28,0.2788844621513944,0.17239057239057234,0.17845117845117842,True,2019,<30,<30
2019-07-12,0.30/0.15,Bullish_LowIV,0.5399999999999998,3.5,2.96,-0.4079999999999877,-0.3799999999999877,0.027999999999999997,expiry_loss,21,0.1394422310756972,0.13404530977648313,12.39,0.11952191235059761,-0.13783783783783368,-0.1283783783783742,False,2019,<30,<30
