date,sym,R,cnt5,cnt5_pct,cnt10,cnt10_pct,cnt20,cnt20_pct,breadth
2022-01-11,EQT,-1.279851984280911,2.0,23.904382470119522,2.0,9.9601593625498,6.0,5.577689243027888,42.76885043263288
2022-01-11,ZIM,-0.9547409296851012,2.0,23.904382470119522,2.0,9.9601593625498,6.0,5.577689243027888,42.76885043263288
2022-01-12,EQT,-1.7210816420988924,4.0,41.43426294820717,5.0,22.709163346613543,9.0,14.342629482071715,49.814126394052046
2022-01-12,ZIM,-2.2350744620011653,4.0,41.43426294820717,5.0,22.709163346613543,9.0,14.342629482071715,49.814126394052046
2022-02-01,NOV,-1.129676082250802,0.0,0.0,0.0,0.0,7.0,13.147410358565736,35.48780487804878
2022-02-01,OXY,-0.47811167351143113,0.0,0.0,0.0,0.0,7.0,13.147410358565736,35.48780487804878
2022-02-02,MOS,12.803878406735189,2.0,26.294820717131472,2.0,11.155378486055776,9.0,17.131474103585656,47.87363304981774
2022-02-02,NOV,-2.9041243116973385,2.0,26.294820717131472,2.0,11.155378486055776,9.0,17.131474103585656,47.87363304981774
2022-02-03,CVE,-2.591803337845649,4.0,42.62948207171315,4.0,19.9203187250996,10.0,24.701195219123505,53.883495145631066
2022-02-03,NOV,-3.3339432668586975,4.0,42.62948207171315,4.0,19.9203187250996,10.0,24.701195219123505,53.883495145631066
2022-02-03,OXY,-1.669096437346967,4.0,42.62948207171315,4.0,19.9203187250996,10.0,24.701195219123505,53.883495145631066
2022-02-07,HAL,1.2530271335592302,7.0,68.12749003984064,7.0,37.84860557768924,12.0,30.278884462151396,38.78787878787879
2022-02-07,ZIM,-1.0601069956043,7.0,68.12749003984064,7.0,37.84860557768924,12.0,30.278884462151396,38.78787878787879
2022-02-08,EXPE,-0.04133343735025167,9.0,78.48605577689243,9.0,46.21513944223107,14.0,33.067729083665334,42.493946731234864
2022-02-08,MOS,17.016433355661793,9.0,78.48605577689243,9.0,46.21513944223107,14.0,33.067729083665334,42.493946731234864
2022-02-10,MOS,12.61467985048606,7.0,68.12749003984064,11.0,55.77689243027888,13.0,31.47410358565737,72.47596153846155
2022-02-11,BKR,-0.5179627353014102,5.0,49.800796812749006,12.0,62.15139442231076,12.0,30.278884462151396,53.2043530834341
2022-02-11,CF,-1.1376196945774109,5.0,49.800796812749006,12.0,62.15139442231076,12.0,30.278884462151396,53.2043530834341
