sym,date,expiry,cw,credit,width,roc,win,iv,stock_roc,S,ST,month,rank,n_quotes
MSFT,2024-08-02,2024-08-30,0.18869999999999995,1.8869999999999996,10.0,0.23258967089855784,True,0.2999,0.06654345205251375,407.91140464947745,414.20356113551526,2024-08,0.35,20
MSFT,2024-08-09,2024-09-06,0.20370000000000005,2.0370000000000004,10.0,0.25580811252040697,True,0.253,-0.0651905750666198,406.94419465642477,402.0607275891106,2024-08,0.5789473684210527,19
MSFT,2024-08-16,2024-09-13,0.16939999999999997,0.8469999999999999,5.0,0.2039489525644112,True,0.20615,0.16159912890453532,420.19804136575397,431.439602208979,2024-08,0.2631578947368421,19
MSFT,2024-08-23,2024-09-20,0.18093333333333336,1.3570000000000002,7.5,0.22090183949210487,True,0.2193,0.319687709869769,415.4537505046302,438.34234726139,2024-08,0.35,20
MSFT,2024-08-30,2024-09-27,0.15940000000000001,0.797,5.0,0.18962645729241018,True,0.2142,0.20120391616627675,414.20356113551526,428.9106926076346,2024-08,0.23333333333333334,15
MSFT,2024-09-06,2024-10-04,0.18913333333333335,2.837,15.0,0.23324837622297132,True,0.26515,0.17897912233158203,402.0607275891106,417.1887544474778,2024-09,0.45,20
MSFT,2024-09-13,2024-10-11,0.2037,2.037,10.0,-0.13093026138687663,False,0.21835,-0.21114194978659212,431.439602208979,416.9204023285763,2024-09,0.631578947368421,19
MSFT,2024-09-20,2024-10-18,0.17140000000000002,0.8570000000000001,5.0,-1.0,False,0.1957999999999999,-0.29575157903988,438.34234726139,418.321125170504,2024-09,0.2222222222222222,18
MSFT,2024-09-27,2024-10-25,0.18370000000000003,1.8370000000000002,10.0,0.22503981379394833,True,0.23715,-0.004535797766183813,428.9106926076346,428.54662459224267,2024-09,0.45,20
MSFT,2024-10-04,2024-11-01,0.19869999999999996,1.9869999999999997,10.0,0.24797204542618242,True,0.29105,-0.06173623915318399,417.1887544474778,411.59268562016484,2024-10,0.4,20
MSFT,2024-10-11,2024-11-08,0.21369999999999995,2.1369999999999996,10.0,0.27177921912755937,True,0.30405,0.07086651812579345,416.9204023285763,423.18133976703825,2024-10,0.65,20
MSFT,2024-10-18,2024-11-15,0.2037,2.037,10.0,0.25580811252040686,True,0.29495,-0.03615790387321145,418.321125170504,415.0417927269689,2024-10,0.35294117647058826,17
MSFT,2024-10-25,2024-11-22,0.2237,2.237,10.0,0.28816179312121604,True,0.3184,-0.13999764362819064,428.54662459224267,415.42100010570107,2024-10,0.65,20
MSFT,2024-11-01,2024-11-29,0.2237,2.237,10.0,0.28816179312121604,True,0.241,0.20006188477049075,411.59268562016484,425.3003679809179,2024-11,0.75,20
MSFT,2024-11-08,2024-12-06,0.2217,2.217,10.0,0.2848515996402416,True,0.17635,0.4344372923885556,423.18133976703825,446.07386140996397,2024-11,0.5789473684210527,19
MSFT,2024-11-15,2024-12-13,0.17739999999999997,0.8869999999999999,5.0,0.2156576707999027,True,0.22085,0.47272307522842033,415.0417927269689,449.2124431384714,2024-11,0.21052631578947367,19
MSFT,2024-11-22,2024-12-20,0.17693333333333333,1.327,7.5,0.21496841082131865,True,0.20115,0.32703496219717343,415.42100010570107,437.7280368089403,2024-11,0.15,20
MSFT,2024-11-29,2024-12-27,0.18170000000000003,1.8170000000000002,10.0,0.22204570450934868,True,0.17425,0.06969302655709676,425.3003679809179,429.45403175598506,2024-11,0.3,20
MSFT,2024-12-06,2025-01-03,0.17670000000000002,1.7670000000000003,10.0,-1.0,False,0.1702,-0.3868753753221375,446.07386140996397,422.3041228649852,2024-12,0.29411764705882354,17
MSFT,2024-12-13,2025-01-10,0.16140000000000004,0.8070000000000003,5.0,-1.0,False,0.17845,-0.43862875984934846,449.2124431384714,420.38532103740056,2024-12,0.10526315789473684,19
MSFT,2024-12-20,2025-01-17,0.1687,1.6869999999999998,10.0,0.20293516179477922,True,0.2173,-0.07761763477929472,437.7280368089403,431.55943835845966,2024-12,0.16666666666666666,18
MSFT,2024-12-27,2025-01-24,0.15739999999999996,0.7869999999999998,5.0,0.1868027533823878,True,0.2168,0.18751659297631987,429.45403175598506,443.4861348858116,2024-12,0.2631578947368421,19
MSFT,2025-01-03,2025-01-31,0.23370000000000002,2.337,10.0,0.3049719431032233,True,0.25765,-0.08553456303561885,422.3041228649852,416.2351288229301,2025-01,0.8,20
MSFT,2025-01-10,2025-02-07,0.2287,2.287,10.0,0.2965123816932452,True,0.28485,-0.1246142957277912,420.38532103740056,410.3209224724953,2025-01,0.7,20
MSFT,2025-01-17,2025-02-14,0.2037,2.037,10.0,-0.6744503353805466,False,0.2593,-0.291650216015861,431.55943835845966,407.5923519793647,2025-01,0.45,20
MSFT,2025-01-24,2025-02-21,0.23369999999999996,2.3369999999999997,10.0,-1.0,False,0.2446499999999999,-0.4746551356520748,443.4861348858116,408.7792426672825,2025-01,0.65,20
MSFT,2025-01-31,2025-02-28,0.23369999999999996,2.3369999999999997,10.0,-1.0,False,0.2310499999999999,-0.3525120132280451,416.2351288229301,393.38149466585304,2025-01,0.7,20
MSFT,2025-02-07,2025-03-07,0.21870000000000003,2.1870000000000003,10.0,-0.7264443075493731,False,0.22175,-0.2825410093781843,410.3209224724953,392.13729062511675,2025-02,0.6,20
MSFT,2025-02-14,2025-03-14,0.20740000000000008,1.0370000000000004,5.0,-1.0,False,0.211,-0.30519826224212354,407.5923519793647,388.6048996518053,2025-02,0.6,20
MSFT,2025-02-21,2025-03-21,0.18370000000000006,1.8370000000000006,10.0,-0.8777349584784807,False,0.2382,-0.2913581481221293,408.7792426672825,385.99804953394016,2025-02,0.21052631578947367,19
MSFT,2025-02-28,2025-03-28,0.19370000000000004,1.9370000000000003,10.0,-0.024474747748357898,False,0.265,-0.19493414865668338,393.38149466585304,377.865660108905,2025-02,0.4375,16
MSFT,2025-03-07,2025-04-04,0.17370000000000002,1.737,10.0,-0.9457820352076609,False,0.2935999999999999,-0.27777789326579183,392.13729062511675,365.4480030430791,2025-03,0.1,20
MSFT,2025-03-14,2025-04-11,0.19369999999999998,1.9369999999999998,10.0,0.2402331638348009,True,0.2659,0.0026594973216198985,388.6048996518053,388.815130307729,2025-03,0.25,20
MSFT,2025-03-28,2025-04-25,0.20869999999999997,2.0869999999999997,10.0,0.2637432073802603,True,0.28185,0.16819129740927227,377.865660108905,390.7245754364371,2025-03,0.5263157894736842,19
MSFT,2025-04-04,2025-05-02,0.18913333333333332,2.8369999999999997,15.0,0.2332483762229713,True,0.4535,0.6096816239432433,365.4480030430791,435.60465008207314,2025-04,0.35,20
