sym,entry,expiry,credit,a_pnl,b_pnl,b_date,b_resolved,mark_cov,month,roc_a,roc_b
GEV,2025-01-17,2025-02-28,13.187,-9.193,2.7239999999999984,2025-02-07,True,0.5714285714285714,2025-01,-0.6971259573822705,0.20656707363312343
GEV,2025-01-24,2025-03-07,12.787,-74.03299999999999,,,False,0.20689655172413793,2025-01,-5.789708297489637,
GEV,2025-01-31,2025-03-14,11.386999999999999,-0.14300000000000068,-8.126000000000003,2025-02-21,True,0.4827586206896552,2025-01,-0.012558180381136446,-0.7136207956441559
GEV,2025-02-07,2025-03-21,13.687,13.036999999999999,-4.726000000000004,2025-02-28,True,0.4827586206896552,2025-02,0.9525096807189304,-0.3452911521882081
GEV,2025-02-14,2025-03-28,12.386999999999999,-11.943,,,False,0.2413793103448276,2025-02,-0.9641559699685155,
GEV,2025-02-21,2025-04-04,12.587000000000002,5.447000000000002,8.724000000000002,2025-03-17,True,0.6,2025-02,0.43274807340907295,0.6930960514816875
GEV,2025-03-21,2025-05-02,13.087000000000002,10.737000000000002,-4.226000000000001,2025-04-11,True,0.6428571428571429,2025-03,0.8204324902575075,-0.322915870711393
GEV,2025-03-28,2025-05-09,11.987,-24.643,1.4740000000000002,2025-04-21,True,0.5517241379310345,2025-03,-2.055810461333111,0.12296654709268376
GEV,2025-04-04,2025-05-16,17.286999999999995,-59.91300000000001,,,False,0.4482758620689655,2025-04,-3.46578353676173,
GEV,2025-04-11,2025-05-23,15.287,-57.172999999999995,-2.926,2025-05-08,True,0.3448275862068966,2025-04,-3.7399751422777516,-0.19140446130699287
GEV,2025-04-25,2025-06-06,12.687,-40.153000000000006,-13.726000000000004,2025-05-19,True,0.41379310344827586,2025-04,-3.1648931977614887,-1.0818948529991335
GEV,2025-05-02,2025-06-13,13.187,-3.913000000000002,-15.426000000000004,2025-05-23,True,0.4482758620689655,2025-05,-0.296731629635247,-1.1697884279972703
GEV,2025-05-09,2025-06-20,13.787,-12.502999999999998,-12.476,2025-05-30,True,0.5357142857142857,2025-05,-0.9068687894393267,-0.9049104228621165
GEV,2025-05-16,2025-06-27,12.587000000000002,-23.382999999999996,-8.325999999999999,2025-06-06,True,0.6071428571428571,2025-05,-1.8577103360610148,-0.6614761261619129
GEV,2025-05-30,2025-07-11,13.687,13.197,7.1739999999999995,2025-06-23,True,0.6071428571428571,2025-05,0.9641996054650398,0.5241470008036823
GEV,2025-06-06,2025-07-18,13.886999999999999,-1.5130000000000017,4.1739999999999995,2025-06-27,True,0.7857142857142857,2025-06,-0.10895081731115445,0.30056887736732196
GEV,2025-06-13,2025-07-25,17.087,-67.563,1.1240000000000006,2025-07-07,True,0.8214285714285714,2025-06,-3.9540586410721605,0.06578100310177332
GEV,2025-06-20,2025-08-01,16.886999999999997,-73.573,-2.576000000000004,2025-07-11,True,0.5862068965517241,2025-06,-4.356783324450761,-0.15254337656185257
GEV,2025-06-27,2025-08-08,15.387,-21.083,2.724,2025-07-21,True,0.5517241379310345,2025-06,-1.3701826216936372,0.17703255995320727
GEV,2025-11-21,2026-01-02,19.886999999999997,2.386999999999997,,,False,0.37037037037037035,2025-11,0.1200281590989087,
GEV,2025-12-26,2026-02-06,17.686999999999998,3.5369999999999973,-0.32600000000000406,2026-01-16,True,0.75,2025-12,0.19997738451970362,-0.01843161644145441
GEV,2026-01-02,2026-02-13,19.087,-2.9130000000000003,0.5739999999999981,2026-01-23,True,0.7857142857142857,2026-01,-0.15261696442604916,0.030072824435479546
GEV,2026-01-09,2026-02-20,19.087,-90.51299999999999,-19.325999999999997,2026-01-30,True,0.7777777777777778,2026-01,-4.742128150049772,-1.0125216115680828
GLD,2018-01-05,2018-02-16,0.947,0.947,0.124,2018-01-26,True,0.9655172413793104,2018-01,1.0,0.13093980992608237
GLD,2018-01-12,2018-02-23,0.977,0.977,0.33399999999999996,2018-02-02,True,1.0,2018-01,1.0,0.3418628454452405
GLD,2018-01-19,2018-03-02,0.9269999999999999,0.9269999999999999,-0.08599999999999997,2018-02-09,True,0.896551724137931,2018-01,1.0,-0.09277238403451993
GLD,2018-01-26,2018-03-09,1.0670000000000002,1.0670000000000002,0.43400000000000016,2018-02-16,True,0.9310344827586207,2018-01,1.0,0.4067478912839739
GLD,2018-02-09,2018-03-23,1.2770000000000001,1.2770000000000001,0.9240000000000002,2018-03-02,True,0.9310344827586207,2018-02,1.0,0.7235708692247456
GLD,2018-02-16,2018-03-29,1.207,1.207,0.4940000000000001,2018-03-08,True,0.9285714285714286,2018-02,1.0,0.4092792046396024
GLD,2018-03-02,2018-04-13,0.977,0.977,0.02400000000000002,2018-03-23,True,0.896551724137931,2018-03,1.0,0.024564994882292756
GLD,2018-03-09,2018-04-20,0.857,0.857,0.21399999999999997,2018-04-02,True,0.9310344827586207,2018-03,1.0,0.249708284714119
GLD,2018-03-16,2018-04-27,0.837,0.837,0.06399999999999995,2018-04-06,True,0.9310344827586207,2018-03,1.0,0.07646356033452802
GLD,2018-03-23,2018-05-04,1.2570000000000001,1.2570000000000001,0.5840000000000001,2018-04-13,True,0.8620689655172413,2018-03,1.0,0.4645982498011138
