strategy,cell,n,cell_z,rest_z,t
OPT USO Bull Put Spread,VIXlo|SPY>200,13,-0.06330670263805029,0.017145565297805282,-0.18118465091041974
EQ DR-EP catalyst+retrace,VIXlo|SPY>200,19,-0.03517446760710012,0.010281767454383174,-0.17279164976102496
EQ VCP damped sine,VIXhi|SPY>200,16,0.03782720326243702,-0.010258224613542182,0.1485541414987626
OPT ASHR Bear Call Spread,VIXhi|SPY<200,6,-0.043888170864108254,0.006269738694872618,-0.14549923934327463
EQ DR-EP catalyst+retrace,VIXhi|SPY<200,15,0.026095322023026498,-0.005672896091962214,0.11518051899601733
OPT UVXY combined,VIXmid|SPY>200,29,-0.013812582561131695,0.0067892354961494525,-0.09113491835923371
EQ precision-tier breakout,VIXhi|SPY<200,13,0.022821916688629925,-0.004495226014427085,0.08215444112159816
EQ earnings drift good+muted,VIXhi|SPY<200,7,-0.026529362042865472,0.0037141106860010677,-0.08055605859189832
EQ precision-tier breakout,VIXhi|SPY>200,17,-0.012502217020300906,0.0034280272475018508,-0.07924535306521298
OPT GLD Bull Put Spread,VIXhi|SPY>200,13,0.016819530752509672,-0.0032634910415316972,0.0661936840229266
OPT UVXY combined,VIXhi|SPY>200,19,0.0035488078551196758,-0.0009772079601054284,0.018088852931982848
OPT XOP Bull Put Spread,VIXhi|SPY<200,14,0.003831464422057213,-0.0007152066921173346,0.015466656088390705
EQ precision-tier breakout,VIXmid|SPY>200,30,0.001646573384346171,-0.0010081061536813302,0.011009665824457043
OPT SQQQ Bear Call Spread,VIXhi|SPY<200,11,-0.0009875345142741354,0.00023112509908540996,-0.003941303197766875
