day,w,gex,credit,maxrisk,width_c,width_p,straddle_mid,pnl_usd,ret_risk,ret_credit,NEG,half,yr
2020-06-19,1.0,417004372.2191587,1.9015,1.0985,3.0,3.0,2.785,175.14999999999944,159.44469731451926,92.11149092821427,False,2018-2026,2020
2020-06-19,2.0,417004372.2191587,2.4715000000000003,3.5284999999999997,6.0,5.5,2.785,232.14999999999947,65.79282981436856,93.93081124822959,False,2018-2026,2020
2020-06-26,1.0,-9997463.723897517,2.169,1.331,3.5,3.0,3.1999999999999997,-83.1,-62.43425995492111,-38.31258644536653,True,2018-2026,2020
2020-06-26,2.0,-9997463.723897517,2.8964999999999996,3.6035000000000004,6.5,6.5,3.1999999999999997,-251.34999999999968,-69.75163035937274,-86.77714482996711,True,2018-2026,2020
2020-06-30,1.0,-267881612.16052645,1.9965,1.0035,3.0,3.0,2.915,-100.35000000000001,-100.0,-50.26296018031555,True,2018-2026,2020
2020-06-30,2.0,-267881612.16052645,2.6240000000000006,3.3759999999999994,6.0,6.0,2.915,-263.59999999999906,-78.08056872037888,-100.45731707317034,True,2018-2026,2020
2020-07-02,1.0,334510742.59301066,2.729,1.271,4.0,4.0,4.1,-127.1,-100.0,-46.57383657017222,False,2018-2026,2020
2020-07-02,2.0,334510742.59301066,3.6740000000000004,4.326,8.0,8.0,4.1,-143.60000000000133,-33.19463707813253,-39.08546543277118,False,2018-2026,2020
2020-07-10,1.0,339205541.9136066,1.9565000000000001,1.0434999999999999,3.0,3.0,2.9699999999999998,-7.349999999997259,-7.043603258262826,-3.756708407869797,False,2018-2026,2020
2020-07-10,2.0,339205541.9136066,2.6065000000000005,3.3934999999999995,6.0,6.0,2.9699999999999998,57.65000000000278,16.988360100192363,22.11778246691071,False,2018-2026,2020
2020-07-17,1.0,-606043713.6104488,2.6715,1.3285,4.0,4.0,3.87,229.15000000000046,172.4877681595788,85.77578139621951,True,2018-2026,2020
2020-07-17,2.0,-606043713.6104488,3.5465,4.4535,8.0,8.0,3.87,316.65000000000043,71.10138093634231,89.28521077118299,True,2018-2026,2020
2020-07-24,1.0,-1199492766.549443,2.5690000000000004,1.4309999999999996,4.0,4.0,3.64,1.8999999999989026,1.327742837176033,0.7395873880883231,True,2018-2026,2020
2020-07-24,2.0,-1199492766.549443,3.2215000000000007,3.7784999999999993,7.0,7.0,3.64,67.14999999999893,17.771602487759413,20.844327176780666,True,2018-2026,2020
2020-07-31,1.0,-607247856.6154853,3.5139999999999993,1.4860000000000007,5.0,5.0,5.175,-132.59999999999758,-89.23283983849092,-37.7347751849737,True,2018-2026,2020
2020-07-31,2.0,-607247856.6154853,4.738999999999999,5.261000000000001,10.0,10.0,5.175,-10.0999999999976,-1.919787112715757,-2.1312513188431317,True,2018-2026,2020
2020-08-07,1.0,756984679.3672011,1.914,1.086,3.0,3.0,2.8,-58.60000000000001,-53.959484346224684,-30.616509926854757,False,2018-2026,2020
2020-08-07,2.0,756984679.3672011,2.4915000000000003,3.5084999999999997,6.0,6.0,2.8,-0.849999999999973,-0.24226877583011916,-0.34115994380893955,False,2018-2026,2020
2020-08-14,1.0,408325356.8574001,1.7865,0.7135,2.5,2.5,2.96,150.65000000000273,211.14225648213414,84.32689616568862,False,2018-2026,2020
2020-08-14,2.0,408325356.8574001,2.6065,2.8935,5.5,5.5,2.96,232.65000000000273,80.4043545878703,89.25762516785065,False,2018-2026,2020
2020-08-21,1.0,961227910.9630132,1.844,1.156,3.0,2.5,2.655,0.40000000000250946,0.3460207612478456,0.21691973969767323,False,2018-2026,2020
2020-08-21,2.0,961227910.9630132,2.2815000000000003,2.7184999999999997,5.0,5.0,2.655,44.150000000002535,16.24057384587182,19.351303966689688,False,2018-2026,2020
2020-08-28,1.0,518351706.18143106,2.0715000000000003,0.9284999999999997,3.0,3.0,3.375,157.15000000000003,169.25148088314498,75.86290127926624,False,2018-2026,2020
2020-08-28,2.0,518351706.18143106,3.044,3.956,7.0,7.0,3.375,254.4,64.30738119312437,83.5742444152431,False,2018-2026,2020
2020-09-04,1.0,-1176309029.9445133,4.004000000000001,1.9959999999999987,6.0,6.0,5.875,47.40000000000286,23.747494989981412,11.838161838162549,True,2018-2026,2020
2020-09-04,2.0,-1176309029.9445133,5.2915,6.7085,12.0,12.0,5.875,176.15000000000273,26.257732727137622,33.28923745629835,True,2018-2026,2020
2020-09-11,1.0,-1329915724.4046,3.2990000000000004,1.7009999999999996,5.0,5.0,4.785,75.89999999999799,44.62081128747678,23.006971809638674,True,2018-2026,2020
2020-09-11,2.0,-1329915724.4046,4.3265,5.6735,9.5,10.0,4.785,178.649999999998,31.488499162773948,41.29203744366069,True,2018-2026,2020
2020-09-18,1.0,-1987484922.469359,2.6990000000000003,1.3009999999999997,4.0,4.0,4.325,-55.09999999999997,-42.352036894696376,-20.41496850685438,True,2018-2026,2020
2020-09-18,2.0,-1987484922.469359,3.8665000000000003,5.1335,9.0,9.0,4.325,61.65000000000003,12.009350345768,15.944652786758057,True,2018-2026,2020
2020-09-25,1.0,-1211824283.8974924,2.7264999999999997,1.2735000000000003,4.0,4.0,4.15,-127.35000000000002,-100.0,-46.70823399963325,True,2018-2026,2020
2020-09-25,2.0,-1211824283.8974924,3.7689999999999997,4.731,8.0,8.5,4.15,-186.09999999999957,-39.336292538575265,-49.37649243831244,True,2018-2026,2020
2020-09-30,1.0,-144834309.7439093,2.8340000000000005,1.1659999999999995,4.0,4.0,4.1,74.40000000000255,63.807890222986785,26.25264643613357,True,2018-2026,2020
2020-09-30,2.0,-144834309.7439093,3.7765000000000004,4.2235,8.0,8.0,4.1,168.65000000000254,39.931336569196766,44.657751886668215,True,2018-2026,2020
2020-10-02,1.0,159580180.34360647,2.6615000000000006,1.3384999999999994,4.0,4.0,3.8850000000000002,-133.84999999999994,-100.0,-50.29118917903435,False,2018-2026,2020
2020-10-02,2.0,159580180.34360647,3.529000000000001,4.470999999999999,8.0,8.0,3.8850000000000002,-413.1000000000024,-92.39543726235797,-117.05865684329903,False,2018-2026,2020
2020-10-09,1.0,296709814.59987146,1.9989999999999999,1.0010000000000001,3.0,3.0,2.965,-100.10000000000001,-100.0,-50.07503751875939,False,2018-2026,2020
2020-10-09,2.0,296709814.59987146,2.6765,3.3235,6.0,6.0,2.965,-205.35000000000184,-61.78727245373907,-76.72333271063025,False,2018-2026,2020
2020-10-16,1.0,142185739.9475763,2.6540000000000004,1.3459999999999996,4.0,4.0,3.8049999999999997,110.3999999999989,82.02080237741377,41.597588545591144,False,2018-2026,2020
2020-10-16,2.0,142185739.9475763,3.4215,4.0785,7.5,7.5,3.8049999999999997,187.14999999999887,45.88696824813016,54.69823176969132,False,2018-2026,2020
2020-10-23,1.0,-638783295.9141186,2.4739999999999998,1.5260000000000002,3.5,4.0,3.61,158.40000000000134,103.80078636959458,64.0258690379957,True,2018-2026,2020
2020-10-23,2.0,-638783295.9141186,3.264,3.736,7.0,7.0,3.61,237.40000000000134,63.543897216274445,72.73284313725532,True,2018-2026,2020
2020-10-30,1.0,-798439335.6875792,3.5164999999999997,1.9835000000000003,5.0,5.5,5.275,-198.35000000000002,-100.0,-56.40551684913978,True,2018-2026,2020
2020-10-30,2.0,-798439335.6875792,4.804,6.196,11.0,10.5,5.275,-345.59999999999906,-55.77792123950921,-71.94004995836782,True,2018-2026,2020
2020-11-06,1.0,540917827.9481208,2.9539999999999997,1.5460000000000003,4.5,4.0,4.475,131.40000000000134,84.99353169469684,44.48205822613451,False,2018-2026,2020
2020-11-06,2.0,540917827.9481208,4.039,4.961,9.0,9.0,4.475,239.90000000000134,48.35718605119962,59.39589007180028,False,2018-2026,2020
2020-11-13,1.0,-848601666.7839217,2.5815,1.4184999999999999,4.0,4.0,3.585,-48.849999999999305,-34.43778639407776,-18.923106720898435,True,2018-2026,2020
2020-11-13,2.0,-848601666.7839217,3.229,3.771,7.0,7.0,3.585,15.900000000000691,4.216388225934948,4.92412511613524,True,2018-2026,2020
2020-11-20,1.0,65787688.6977693,2.1365,1.3635000000000002,3.5,3.5,3.01,-0.3499999999986514,-0.2566923358992676,-0.16381933068038915,False,2018-2026,2020
2020-11-20,2.0,65787688.6977693,2.684,3.816,6.5,6.5,3.01,54.400000000001384,14.255765199161788,20.268256333830617,False,2018-2026,2020
2020-12-04,1.0,1068691041.9385374,1.9315,1.0685,3.0,3.0,2.88,33.149999999997725,31.024801123067597,17.16282681853364,False,2018-2026,2020
2020-12-04,2.0,1068691041.9385374,2.5389999999999997,3.4610000000000003,6.0,6.0,2.88,93.8999999999977,27.130887026870177,36.98306419850245,False,2018-2026,2020
2020-12-11,1.0,-129971242.40502556,1.9789999999999999,1.0210000000000001,3.0,3.0,3.0300000000000002,90.90000000000067,89.03036238981456,45.932289034866436,True,2018-2026,2020
2020-12-11,2.0,-129971242.40502556,2.689,3.311,6.0,6.0,3.0300000000000002,161.9000000000007,48.89761401389329,60.208255857196235,True,2018-2026,2020
2020-12-18,1.0,1356927886.6115997,1.8764999999999998,1.1235000000000002,3.0,3.0,2.885,72.65000000000225,64.66399643969937,38.715694111378774,False,2018-2026,2020
2020-12-18,2.0,1356927886.6115997,2.464,3.536,6.0,6.0,2.885,131.40000000000228,37.16063348416353,53.327922077923,False,2018-2026,2020
2020-12-31,1.0,762612422.749821,1.3614999999999997,0.6385000000000003,2.0,2.0,2.16,77.15000000000248,120.83007047768588,56.665442526626876,False,2018-2026,2020
2020-12-31,2.0,762612422.749821,1.8614999999999997,2.1385000000000005,4.0,4.0,2.16,127.15000000000248,59.457563712883996,68.30513027128794,False,2018-2026,2020
2021-01-08,1.0,215521554.72387585,1.9940000000000004,1.0059999999999996,3.0,3.0,2.92,-100.59999999999995,-100.0,-50.451354062186525,False,2018-2026,2021
2021-01-08,2.0,215521554.72387585,2.6340000000000003,3.3659999999999997,6.0,6.0,2.92,-145.59999999999746,-43.256090314913095,-55.27714502657458,False,2018-2026,2021
2021-01-15,1.0,-475392887.8649437,2.0264999999999995,0.9735000000000005,3.0,3.0,3.1849999999999996,-97.35000000000005,-100.0,-48.038490007401954,True,2018-2026,2021
2021-01-15,2.0,-475392887.8649437,2.7514999999999996,3.2485000000000004,6.0,6.0,3.1849999999999996,-34.85000000000231,-10.728028320764139,-12.665818644376635,True,2018-2026,2021
2021-01-22,1.0,772856342.8448181,1.909,1.091,3.0,3.0,2.625,37.900000000002734,34.73877176902175,19.853326348875186,False,2018-2026,2021
2021-01-22,2.0,772856342.8448181,2.3265000000000002,2.6734999999999998,5.0,5.0,2.625,79.65000000000275,29.792406957173277,34.235976789169456,False,2018-2026,2021
2021-01-29,1.0,-713132840.0607966,2.9490000000000007,1.5509999999999993,4.5,4.5,4.48,-155.09999999999994,-100.0,-52.59409969481176,True,2018-2026,2021
