date,sym,ext10,arm,entry,legs,pnl,post,xname,day_ret,e_post,e_x
2026-06-12,CHEF,0.11395171662653825,09:30,10:26,2,-0.17846191870697375,-0.10713913247920377,-1.0649442600898267,0.07722007722006374,-0.07132278622776998,0.8864823413828529
2026-06-15,AMAT,0.1317882707862006,09:30,09:45,2,-0.7254759851975477,0.21411811222673696,-1.818787835285012,-0.7796874470321069,-0.9395940974242847,1.0933118500874643
2026-06-15,ANF,0.11648031702075978,09:45,10:53,1,2.8202518139137833,1.7605922814113206,-0.5600335507897387,-1.011309264897775,1.0596595325024627,3.3802853647035223
2026-06-15,HTFL,0.12005935281733948,09:36,09:45,1,1.8897194867203777,0.8807871042340212,-0.20454059785640952,-1.3509456619633875,1.0089323824863565,2.094260084576787
2026-06-15,INTC,0.12460277804517461,09:30,09:59,1,1.5971674876847186,-0.028527220051336167,-0.6016709588181683,-1.3205652946173485,1.6256947077360548,2.198838446502887
2026-06-15,KLAC,0.1833147387966243,09:30,09:46,1,1.5529025012957423,-0.8827454164376757,-0.720754875462988,-2.762074591190189,2.435647917733418,2.27365737675873
2026-06-15,SNDK,0.13657299822073998,09:30,09:45,1,-3.3833333333333333,-0.06890660182982819,-0.24813747729801486,0.327444410600064,-3.314426731503505,-3.1351958560353186
2026-06-16,HOOD,0.11434154159256837,09:31,09:45,1,2.88586269196025,-0.42434345952452934,0.9776817479325521,-3.459119496855345,3.3102061514847794,1.9081809440276978
2026-06-16,MU,0.10498461979658913,09:30,09:45,1,6.596487000576122,2.071919290160232,0.8329758256420309,-7.171955987996725,4.52456771041589,5.7635111749340915
2026-06-16,OSCR,0.12718550027245668,09:30,09:45,1,1.9908163265306205,0.7827137967672985,0.10010007634337068,-2.158273381294973,1.2081025297633219,1.8907162501872499
2026-06-16,SNDK,0.18631710528235823,09:30,09:45,1,6.265692146256274,3.249080752730707,3.2027076303004254,-6.662449629837875,3.0166113935255674,3.062984515955849
2026-06-16,STX,0.13231957102519298,09:30,10:00,1,4.093376642702352,1.4499424526636409,0.8619283406480793,-1.280141759057496,2.643434190038711,3.2314483020542726
2026-06-16,TGTX,0.15292929718985482,09:30,09:45,1,-1.6471873430437,-1.4215244238799936,2.75042996039837,0.3173973417972764,-0.2256629191637065,-4.39761730344207
2026-06-16,WDC,0.18297364728927867,09:30,10:00,1,4.28524793910711,1.0096326914038531,1.1201893047540534,-0.8117651341414511,3.275615247703257,3.165058634353057
2026-06-17,CRWV,0.12984040562590438,09:42,09:46,1,4.085807605891652,3.4854216034455563,-0.557452822980665,-1.5973349278209592,0.6003860024460961,4.643260428872317
2026-06-17,NBIS,0.11916041347315098,09:43,09:49,2,-6.018131741336224,-1.9941844657532635,1.6562380453638041,5.73687182382836,-4.023947275582961,-7.674369786700028
2026-06-17,TGTX,0.12266206586846184,09:30,09:54,2,-1.5368168270172289,-0.5679385846617537,-1.667397334591151,1.1988993710691842,-0.9688782423554751,0.13058050757392214
2026-06-17,WDC,0.2070332955287182,11:27,14:03,1,-1.818807211722539,-0.8797732631195407,0.4952351631104974,2.3976418994212434,-0.9390339486029982,-2.3140423748330363
2026-06-18,AMAT,0.11662691684893223,09:30,10:32,1,1.6523175746756273,1.193791923873068,-0.38488275174227454,-0.9349097217760005,0.45852565080255925,2.037200326417902
2026-06-18,GEV,0.10733174463805994,09:33,09:45,3,-3.892148728341629,-1.6772614311795817,-0.9625588900783489,1.7066441802700227,-2.214887297162047,-2.92958983826328
2026-06-18,NBIS,0.1714491838685681,09:30,09:45,1,1.7226977173950264,-1.5710650224610894,-0.674712427140923,-3.745808182427901,3.293762739856116,2.3974101445359493
