sym,date,expiry,wing,width,credit,cw,roc,win,iv,S,ST,month
AMD,2023-06-23,2023-07-21,0.25,2.0,0.537,0.2685,0.367053998632946,True,0.42115,111.27871786751325,111.0967375520768,2023-06
AMD,2023-06-23,2023-07-21,0.2,4.0,1.0070000000000001,0.25175000000000003,0.3364517206815904,True,0.42115,111.27871786751325,111.0967375520768,2023-06
AMD,2023-06-23,2023-07-21,0.15,5.0,1.197,0.2394,0.3147515119642388,True,0.42115,111.27871786751325,111.0967375520768,2023-06
AMD,2023-06-30,2023-07-28,0.25,2.0,0.5169999999999998,0.2584999999999999,0.34861766689143614,True,0.40735,114.11024187584627,113.13555438323411,2023-06
AMD,2023-06-30,2023-07-28,0.2,4.0,0.967,0.24175,0.3188262446422684,True,0.40735,114.11024187584627,113.13555438323411,2023-06
AMD,2023-06-30,2023-07-28,0.15,6.0,1.317,0.2195,0.2812299807815503,True,0.40735,114.11024187584627,113.13555438323411,2023-06
AMD,2023-06-30,2023-07-28,0.1,9.0,1.697,0.18855555555555556,0.23237025879775436,True,0.40735,114.11024187584627,113.13555438323411,2023-06
AMD,2023-07-07,2023-08-04,0.25,2.0,0.5369999999999998,0.2684999999999999,0.36705399863294585,True,0.4864,113.48691449121134,115.58901807355134,2023-07
AMD,2023-07-07,2023-08-04,0.2,5.0,1.277,0.25539999999999996,0.3430029546065001,True,0.4864,113.48691449121134,115.58901807355134,2023-07
AMD,2023-07-07,2023-08-04,0.15,8.0,1.827,0.228375,0.2959663048760732,True,0.4864,113.48691449121134,115.58901807355134,2023-07
AMD,2023-07-07,2023-08-04,0.1,11.0,2.217,0.20154545454545456,0.2524194466583172,True,0.4864,113.48691449121134,115.58901807355134,2023-07
AMD,2023-07-14,2023-08-11,0.25,3.0,0.8370000000000001,0.279,-0.06720525729824317,False,0.5065999999999999,115.88063741229695,108.0176350284639,2023-07
AMD,2023-07-14,2023-08-11,0.2,5.0,1.3370000000000002,0.2674,0.09681545958610434,True,0.5065999999999999,115.88063741229695,108.0176350284639,2023-07
AMD,2023-07-14,2023-08-11,0.15,8.0,1.917,0.239625,0.1536470538326319,True,0.5065999999999999,115.88063741229695,108.0176350284639,2023-07
AMD,2023-07-14,2023-08-11,0.1,11.0,2.327,0.21154545454545454,0.1550368993962758,True,0.5065999999999999,115.88063741229695,108.0176350284639,2023-07
