t,start,end,days,excess,sig_day,left
XLF,2009-03-06,2009-10-14,154,60.594444882897626,8.0,36.833342942995586
XLF,2011-11-29,2013-07-22,411,21.75337179828547,35.0,65.38941155535099
XLF,2016-07-06,2018-02-21,410,22.525607325022335,89.0,47.67307978209712
XLF,2020-09-02,2021-06-03,188,29.059160598224267,48.0,67.9644635024095
XLF,2024-07-08,2025-04-22,198,20.13114430741978,7.0,69.1395889424794
XLV,2008-05-15,2008-11-20,132,40.711721172251416,37.0,60.27884049614628
XLV,2008-11-26,2009-02-23,58,22.56982249104691,19.0,61.72456279474422
XLV,2011-02-11,2015-08-05,1126,49.07001649415914,57.0,76.25494789719386
XLV,2019-04-22,2020-04-20,251,20.318099642817877,,
XLV,2021-11-24,2022-12-28,274,26.855656364049384,17.0,71.55923753485385
XLI,2009-03-06,2011-04-04,524,27.43406207537058,19.0,73.4877732850748
XLI,2020-05-15,2021-05-10,247,21.429894825949326,12.0,48.07815636421824
XLI,2024-07-10,2026-03-02,411,20.45826954783896,15.0,62.1337032209072
XLB,2006-10-04,2008-06-23,431,43.827183788288515,21.0,83.99854301257086
XLB,2008-12-05,2010-01-06,272,22.656144245440444,70.0,48.738374705746864
XLB,2020-03-18,2021-05-17,293,25.034995817793117,28.0,69.34698529878783
XLB,2025-11-03,2026-02-13,70,25.79735065919746,43.0,53.8337724240962
XLRE,2018-02-27,2019-09-03,381,27.287770920059916,21.0,61.02998135565999
XLRE,2021-01-11,2022-04-26,325,28.079264557647733,21.0,72.29384785981559
XLU,2006-01-03,2008-01-15,511,26.19889915474156,105.0,97.65567341766658
XLU,2008-09-22,2008-11-21,44,28.863010247025112,,
XLU,2011-02-18,2011-10-03,156,27.855941985255694,56.0,72.57301240483845
XLU,2014-01-03,2015-01-29,269,21.88875878677028,19.0,60.26787545750349
XLU,2015-11-06,2016-02-09,63,25.39818806191858,38.0,66.50620165803443
XLU,2018-06-06,2018-12-21,138,29.69060253686051,18.0,57.13507847207103
XLU,2021-11-08,2022-09-23,220,40.07983667070576,25.0,79.17175160705197
XLU,2024-02-26,2024-10-03,153,21.118896383888995,25.0,70.20253854555222
XLU,2026-01-07,2026-03-30,56,20.178960671828648,24.0,65.60042669909708
SMH,2008-12-08,2009-03-13,65,30.41728377927182,17.0,72.67141647614709
SMH,2010-09-10,2011-03-04,121,20.82275274784966,14.0,60.72161536718825
SMH,2012-10-19,2015-05-29,653,32.94443573233483,130.0,60.87455314770095
SMH,2015-08-20,2018-03-21,650,71.64024306526342,17.0,79.38865185928299
SMH,2018-10-24,2019-04-24,123,23.335593560016466,62.0,50.45523013023796
SMH,2019-05-24,2021-02-16,435,83.63987479291886,22.0,87.91256696114479
SMH,2021-05-13,2021-12-01,140,21.551199347098702,18.0,65.95409945253053
SMH,2022-10-18,2023-03-23,107,38.146713265161836,16.0,71.53366907327045
SMH,2023-04-25,2024-03-07,218,53.64351063167063,17.0,77.39844652710262
SMH,2024-04-19,2024-06-18,41,25.42062819539992,21.0,54.33769258459957
SMH,2025-04-04,2026-06-22,303,148.417637239995,20.0,87.71336527936842
IGV,2006-07-12,2008-08-13,526,33.91878389971345,24.0,73.12194702461893
IGV,2008-12-04,2011-05-12,613,35.12781582052711,21.0,83.17479284394271
IGV,2016-02-09,2018-09-14,655,50.542268040351644,20.0,80.68657104158741
IGV,2019-10-22,2020-07-09,179,37.711044587773166,21.0,75.52048521538781
IGV,2022-11-04,2024-02-09,316,34.61777686678364,55.0,72.88113550824761
IGV,2024-06-03,2024-12-06,130,21.843467752800482,19.0,58.167628312463926
IGV,2026-06-25,2026-08-31,46,24.214593729512735,30.0,32.89796429975444
CIBR,2016-02-09,2016-11-16,196,21.195952234932093,20.0,52.83485037431785
CIBR,2020-03-17,2020-07-09,79,24.20122077067255,19.0,51.89612847521124
CIBR,2023-05-02,2024-02-09,195,24.804023007109066,18.0,52.251652933984325
CIBR,2024-06-04,2025-06-05,251,23.148273075120642,61.0,71.212582685728
CIBR,2026-02-24,2026-09-15,140,48.4451473102681,52.0,62.69094388155598
XBI,2007-01-03,2008-01-17,262,38.09622379748885,68.0,72.79197435127647
XBI,2008-03-11,2008-07-31,99,46.358834078995926,20.0,79.69159473973785
XBI,2008-09-08,2008-11-20,53,24.341019556760845,,
XBI,2008-11-28,2009-02-17,53,23.210590701150725,17.0,49.206664783054585
XBI,2011-02-23,2011-07-14,98,20.204549618341705,27.0,57.91598260748787
XBI,2011-11-10,2012-02-06,58,24.624631392806705,27.0,70.00267486167697
XBI,2012-04-16,2012-07-09,58,26.047692866374295,17.0,57.83515283477519
XBI,2012-11-02,2013-10-02,229,29.734919885964196,45.0,59.065480621494174
XBI,2013-11-07,2014-02-25,73,40.53791127761943,15.0,67.33148004604807
XBI,2014-07-17,2015-03-19,169,64.47682794270126,19.0,67.33993833082886
XBI,2015-04-30,2015-07-17,54,28.491395748587323,18.0,49.82738232201046
