feature,dir,N,dates,sel_meanR,day_meanR,delta,t,h1,h2,both_halves,passes,ext_vs_day
sma_stacked,asc,5,1100,0.05823329162364809,0.05137487641622964,0.006858415207418426,0.416076809123784,0.019411373531460562,-0.005694543116623714,False,False,0.003467093834714108
range_pos,asc,3,1359,0.05528230168521102,0.04857608704379682,0.006706214641414205,0.37170265569933997,0.020212955042692583,-0.006780662906332873,False,False,-0.08666743808976862
gap_ADR,desc,3,1359,0.05565283178041242,0.04857608704379682,0.007076744736615615,0.36167589147041623,0.01462155011405689,-0.00045696533880001684,False,False,0.6522654731111158
dist_21ema_ADR,asc,5,1100,0.05716872814197603,0.05137487641622964,0.005793851725746389,0.34346141911001815,0.039638105572153325,-0.028050402120660546,False,False,-0.29865753192257716
dist_21ema_ADR,asc,2,1442,0.05492024739184364,0.05027404553340273,0.004646201858440895,0.20291437802403364,0.04115816628275288,-0.0318657625658711,False,False,-0.31579810988624346
range_pos,desc,5,1100,0.0532551825510099,0.05137487641622964,0.0018803061347802568,0.11157925860956233,0.02613118127696025,-0.022370569007399727,False,False,0.13347858926103773
ext_above_level_ADR,desc,3,1359,0.05033223223699858,0.04857608704379682,0.0017561451932017406,0.0852337034358369,0.011441673091533645,-0.007915139281750262,False,False,1.1285963544402793
dist_21ema_ADR,asc,1,1442,0.05284460064013038,0.05027404553340273,0.002570555106727656,0.0745650330411387,0.0323532110831229,-0.027212100869667587,False,False,-0.3276355416112246
range_pos,asc,1,1442,0.05089828597187222,0.05027404553340273,0.0006242404384694907,0.018903835995774294,0.017875186754465255,-0.016626705877526283,False,False,-0.08224364642154208
range_pos,desc,2,1442,0.04916827010431337,0.05027404553340273,-0.0011057754290893587,-0.04745193657968988,0.0068678370952175195,-0.00907938795339624,False,False,0.11847936485874366
range_pos,desc,3,1359,0.04712172719149385,0.04857608704379682,-0.0014543598523029605,-0.07526702770391035,0.006494095556775167,-0.00939112635636775,False,False,0.12874774837013858
dist_21ema_ADR,desc,2,1442,0.04688229149892705,0.05027404553340273,-0.0033917540344756917,-0.13463776686011772,-0.0015335431511906365,-0.005249964917760757,False,False,0.8636174953455086
gap_ADR,desc,1,1442,0.04357956257051085,0.05027404553340273,-0.006694482962891889,-0.18594312065906127,0.07109708200827114,-0.08448604793405493,False,False,1.1756871498165022
range_pos,desc,1,1442,0.04310822741455347,0.05027404553340273,-0.007165818118849271,-0.2123321162299597,0.041111518344108575,-0.05544315458180712,False,False,0.1384879354622357
pct_off_52w_high,asc,5,1086,0.04660680909546294,0.05210086039639724,-0.005494051300934298,-0.2920650170234728,0.033735021050711876,-0.04472312365258047,False,False,-0.023542114760960076
ext_above_level_ADR,desc,2,1442,0.03765447949253038,0.05027404553340273,-0.012619566040872351,-0.5110663282010711,-0.01113141629296196,-0.014107715788782749,False,False,1.3498286474218406
pct_off_52w_high,desc,3,1344,0.03640147788771871,0.049356489444877936,-0.012955011557159234,-0.6803901272328907,-0.04736355062182669,0.021453527507508223,False,False,0.047787168425969084
dist_21ema_ADR,desc,5,1100,0.03583204649424012,0.05137487641622964,-0.015542829921989522,-0.8825304297221319,-0.03576057091378287,0.00467491106980382,False,False,0.5922256005323401
pct_off_52w_high,desc,1,1420,0.02109653657800524,0.05081282975733263,-0.029716293179327363,-0.8891485924134134,-0.08070148315568687,0.02126889679703213,False,False,0.08939298762974035
dist_21ema_ADR,desc,3,1359,0.030325912980107343,0.04857608704379682,-0.01825017406368948,-0.8980320471148593,-0.03502075970023196,-0.0015042510530830905,False,False,0.7041014377674463
ext_above_level_ADR,asc,5,1100,0.037031319763132016,0.05137487641622964,-0.014343556653097632,-0.9472625280928655,-0.005611499375518348,-0.02307561393067692,False,False,-0.44247063881195536
dolvol_musd,asc,1,1442,0.01864207154368704,0.05027404553340273,-0.031631973989715706,-1.0203467513828581,-0.05204084908402765,-0.011223098895403752,False,False,-0.2612657443554398
pct_off_52w_high,desc,2,1420,0.023680987030595096,0.05081282975733263,-0.02713184272673753,-1.186105065904202,-0.06197462124181507,0.00771093578834,False,False,0.05502285293695108
sma_stacked,asc,1,1442,0.004198943041831483,0.05027404553340273,-0.04607510249157125,-1.5218161509796717,-0.04820463879814618,-0.043945566184996315,False,False,0.018138985123039686
ext_above_level_ADR,asc,3,1359,0.02073921056743018,0.04857608704379682,-0.02783687647636665,-1.5440239117764234,-0.024852189616678295,-0.030817174090673107,False,False,-0.4470109213671616
ext_above_level_ADR,asc,2,1442,0.015982172135829743,0.05027404553340273,-0.034291873397572996,-1.6367370718538417,-0.012673472100124514,-0.05591027469502147,False,False,-0.4585357857689369
dolvol_musd,asc,2,1442,0.01362325764991261,0.05027404553340273,-0.036650787883490125,-1.7904279809839205,-0.011117256476592445,-0.06218431929038782,False,False,-0.24308554572836222
rvol20,asc,1,1442,-0.001042433872825801,0.05027404553340273,-0.051316479406228556,-1.8280156799268394,-0.03308830080493422,-0.06954465800752288,False,False,-0.30724827454898784
dolvol_musd,asc,5,1100,0.02439648067846808,0.05137487641622964,-0.026978395737761566,-1.831550754866003,-0.022574621572413304,-0.03138216990310983,False,False,-0.21370248774512374
dolvol_musd,asc,3,1359,0.017424556960785566,0.04857608704379682,-0.03115153008301125,-1.854830338029521,-0.020346437939401215,-0.04194073238523364,False,False,-0.22595009595345938
ext_above_level_ADR,asc,1,1442,-0.011952987323728691,0.05027404553340273,-0.06222703285713144,-2.055938352253252,-0.06420606773062687,-0.06024799798363599,False,False,-0.4767312556648614
rvol20,asc,5,1100,0.011932343154447859,0.05137487641622964,-0.039442533261781786,-2.726731416337778,-0.02939991592689763,-0.04948515059666594,False,False,-0.28142916384774724
rvol20,asc,2,1442,-0.004250383461085353,0.05027404553340273,-0.05452442899448809,-2.870898992012849,-0.040526636122428156,-0.06852222186654801,False,False,-0.29785869436723245
rvol20,asc,3,1359,-0.002750210430855894,0.04857608704379682,-0.051326297474652706,-3.033131184941176,-0.02594232621280393,-0.07667293936699877,False,False,-0.28565680991016207
