ticker,entry,expiry,S,ks,kl,credit,width,maxloss,cost,ba_s,ba_l,iv30,rv21,log_ivrv,put_skew,ff,trend_z,vix,ST,roc_hold,ivp,skew_z,roc_mgd
TLT,2020-08-21,2020-09-18,166.06,163.0,159.0,0.7799999999999999,4.0,3.22,0.027999999999999955,0.039999999999999813,0.020000000000000018,0.15424745839046441,0.1098653586321852,0.3393025817977596,0.017781427062485644,-0.16215135449526824,0.02599556055306396,22.54,163.43221540312877,0.23354037267080743,0.4423076923076923,1.012458449781609,-0.34503105590062116
TLT,2020-08-28,2020-09-25,160.82,157.5,152.5,0.98,5.0,4.02,0.09299999999999996,0.16999999999999993,0.1499999999999999,0.17346268440163104,0.11615241182567775,0.4010592770094063,0.06347630557941653,-0.13735937152836253,-0.597674322736876,22.96,164.8125521350546,0.22064676616915427,0.7307692307692307,2.372047182345571,0.11044776119402988
TLT,2020-09-04,2020-10-02,162.70000000000002,159.0,155.0,0.8449999999999999,4.0,3.1550000000000002,0.07050000000000002,0.13000000000000012,0.09999999999999998,0.1776636602116,0.13763359777263393,0.2552971479147365,0.026133362432872342,0.012485955979243388,-0.3558642436781465,30.75,162.70999754209168,0.24548335974643418,0.7692307692307693,1.1267714406891194,0.09001584786053876
TLT,2020-09-11,2020-10-09,164.295,161.0,157.5,0.7350000000000001,3.5,2.7649999999999997,0.10049999999999996,0.17999999999999994,0.16999999999999993,0.15725799647591748,0.13291490085631572,0.16817866603159953,0.01593728838285413,-0.11199116001209071,-0.18545306872735093,26.87,159.90993768239298,-0.1647603318651071,0.5192307692307693,0.7907156564483514,0.12260397830018087
TLT,2020-09-18,2020-10-16,163.27999999999997,160.0,157.0,0.5849999999999999,3.0,2.415,0.030499999999999958,0.039999999999999813,0.030000000000000027,0.144808861224881,0.12351868664984735,0.15902222085598494,0.011294338307134222,-0.2883706654869116,-0.29237254036850613,25.83,161.10386501192147,0.22960662525879913,0.3076923076923077,0.6169149146851464,0.10310559006211176
TLT,2020-09-25,2020-10-23,164.905,162.0,158.5,0.7,3.5,2.8,0.053000000000000005,0.08000000000000007,0.07999999999999996,0.14426088087636352,0.11548231648053268,0.2225059190532478,0.018801420963988846,-0.321554408340009,-0.10502839944456102,26.38,157.80425781249997,-1.0189285714285714,0.3076923076923077,0.8213461383559373,-0.4289285714285714
TLT,2020-10-02,2020-10-30,162.775,159.5,156.5,0.59,3.0,2.41,0.07799999999999997,0.15999999999999992,0.09999999999999998,0.15331831112832214,0.08917321395665369,0.5419355225897846,-0.006869122951913331,-0.30374275037642445,-0.43943516562204493,27.63,157.59420430107528,-0.5783384642841163,0.40384615384615385,0.021519283732622848,-0.3178423236514523
TLT,2020-10-09,2020-11-06,159.74,156.0,152.5,0.695,3.5,2.805,0.055500000000000035,0.10000000000000009,0.07000000000000006,0.17152814114753612,0.09180908317830502,0.6250361034396817,0.04717547550295231,-0.04573585056566014,-0.6794267748371972,25.0,159.06148666375162,0.22798573975044562,0.6923076923076923,1.6745955287590975,0.1957219251336898
TLT,2020-10-16,2020-11-13,161.35,158.0,154.0,0.8049999999999999,4.0,3.1950000000000003,0.05049999999999995,0.08999999999999986,0.05999999999999994,0.15970896836243412,0.09615445071183672,0.5073974509866831,0.033093901093540934,-0.12315626555930674,-0.32928698199014306,27.41,158.12080054526302,0.236150234741784,0.5576923076923077,1.17180159422545,-0.28356807511737087
TLT,2020-10-23,2020-11-20,157.905,154.0,150.0,0.825,4.0,3.175,0.020499999999999977,0.010000000000000009,0.019999999999999907,0.18455787037213134,0.10447737964621837,0.5689924895951348,0.0326120623995132,-0.03474564055763458,-0.6480241851840866,27.55,161.40267419783558,0.25338582677165356,0.8269230769230769,1.1133805623424944,0.18866141732283465
TLT,2020-10-30,2020-11-27,157.92499999999998,154.0,150.0,0.8849999999999999,4.0,3.115,0.16050000000000003,0.40000000000000013,0.18999999999999995,0.20090231592323043,0.11872776823203912,0.5259855889959968,0.008517250946235455,-0.10907044040905321,-0.5694145596726246,38.02,160.58097036237862,0.2325842696629213,0.8461538461538461,0.35278319813071013,0.12166934189406094
TLT,2020-11-06,2020-12-04,159.5,156.5,153.5,0.6,3.0,2.4,0.08799999999999997,0.08999999999999986,0.21000000000000002,0.1387575255961062,0.1304730290236294,0.061561458431913706,0.03104436002512223,-0.16377171358342427,-0.26751993094789883,24.86,155.28762311021893,-0.2918237040754455,0.2692307692307692,1.0099841666349578,-0.3670833333333334
