day,struct,gex,credit,maxrisk,pnl_usd,ret_risk,NEG,half
2021-04-28,put spread 16/5,2429360453.908108,0.222,2.778,22.2,7.991360691144708,False,2018-2026
2021-04-28,iron condor 16/5,2429360453.908108,0.33399999999999996,2.666,33.4,12.528132033008252,False,2018-2026
2021-04-30,put spread 16/5,4901981752.080001,0.17200000000000001,3.828,17.200000000000003,4.493207941483804,False,2018-2026
2021-04-30,iron condor 16/5,4901981752.080001,0.30400000000000005,3.6959999999999997,30.400000000000006,8.225108225108228,False,2018-2026
2021-05-03,put spread 16/5,-3590600763.1012745,0.19199999999999998,3.808,19.2,5.042016806722689,True,2018-2026
2021-05-03,iron condor 16/5,-3590600763.1012745,0.35399999999999987,3.646,35.399999999999984,9.709270433351614,True,2018-2026
2021-05-05,put spread 16/5,-4791301758.343043,0.282,3.718,28.199999999999996,7.584722969338353,True,2018-2026
2021-05-05,iron condor 16/5,-4791301758.343043,0.5339999999999999,3.466,53.39999999999999,15.406809001731098,True,2018-2026
2021-05-07,put spread 16/5,1065820753.0841982,0.20199999999999999,3.798,20.2,5.318588730911005,False,2018-2026
2021-05-07,iron condor 16/5,1065820753.0841982,0.44399999999999995,3.556,-162.5999999999993,-45.72553430821128,False,2018-2026
2021-05-10,put spread 16/5,7536963180.25857,0.17199999999999996,3.828,-86.80000000000206,-22.675026123302523,False,2018-2026
2021-05-10,iron condor 16/5,7536963180.25857,0.26399999999999996,3.736,-77.60000000000204,-20.770877944326028,False,2018-2026
2021-05-12,put spread 16/5,-4617104757.301893,0.30199999999999994,5.698,-225.8000000000002,-39.62793962793966,True,2018-2026
2021-05-12,iron condor 16/5,-4617104757.301893,0.584,5.416,-197.60000000000022,-36.48449039881835,True,2018-2026
2021-05-14,put spread 16/5,-2654395226.060233,0.37199999999999994,5.628,37.199999999999996,6.609808102345414,True,2018-2026
2021-05-14,iron condor 16/5,-2654395226.060233,0.6665,5.3335,11.649999999998862,2.1843067404141485,True,2018-2026
2021-05-17,put spread 16/5,2838578842.548426,0.23199999999999996,5.768,23.199999999999996,4.0221914008321775,False,2018-2026
2021-05-17,iron condor 16/5,2838578842.548426,0.504,5.496,50.4,9.170305676855895,False,2018-2026
2021-05-19,put spread 16/5,-2490214176.886398,0.292,3.708,29.2,7.8748651564185534,True,2018-2026
2021-05-19,iron condor 16/5,-2490214176.886398,0.5139999999999999,3.486,51.39999999999999,14.744693057946066,True,2018-2026
2021-05-21,put spread 16/5,1002201969.6464185,0.272,3.7279999999999998,27.200000000000003,7.296137339055794,False,2018-2026
2021-05-21,iron condor 16/5,1002201969.6464185,0.5240000000000001,3.476,52.40000000000001,15.07479861910242,False,2018-2026
2021-05-24,put spread 16/5,-1244053286.0495002,0.21199999999999997,4.788,21.199999999999996,4.427736006683374,True,2018-2026
2021-05-24,iron condor 16/5,-1244053286.0495002,0.4640000000000001,4.536,-66.59999999999954,-14.682539682539582,True,2018-2026
2021-05-26,put spread 16/5,462349273.7323245,0.22199999999999998,3.778,22.199999999999996,5.876124933827421,False,2018-2026
2021-05-26,iron condor 16/5,462349273.7323245,0.3939999999999999,3.606,39.39999999999999,10.926234054353852,False,2018-2026
2021-05-28,put spread 16/5,2285697365.539214,0.12200000000000001,3.378,12.200000000000001,3.6116044997039674,False,2018-2026
2021-05-28,iron condor 16/5,2285697365.539214,0.254,3.246,25.4,7.825015403573629,False,2018-2026
2021-06-01,put spread 16/5,5335941127.2526455,0.162,3.838,16.2,4.220948410630537,False,2018-2026
2021-06-01,iron condor 16/5,5335941127.2526455,0.32399999999999995,3.676,32.4,8.813928182807398,False,2018-2026
2021-06-02,put spread 16/5,-967616946.1297565,0.18199999999999997,2.818,18.199999999999996,6.458481192334988,True,2018-2026
2021-06-02,iron condor 16/5,-967616946.1297565,0.35399999999999987,2.646,35.399999999999984,13.37868480725623,True,2018-2026
2021-06-04,put spread 16/5,-1408179728.4946144,0.18200000000000002,2.818,18.200000000000003,6.4584811923349905,True,2018-2026
2021-06-04,iron condor 16/5,-1408179728.4946144,0.29400000000000004,2.706,-26.60000000000022,-9.830007390983084,True,2018-2026
2021-06-07,put spread 16/5,8654074570.232075,0.17200000000000001,2.828,17.200000000000003,6.082036775106083,False,2018-2026
2021-06-07,iron condor 16/5,8654074570.232075,0.24400000000000002,2.756,24.400000000000002,8.853410740203195,False,2018-2026
2021-06-09,put spread 16/5,3324348284.3299527,0.16199999999999998,2.838,16.2,5.708245243128963,False,2018-2026
2021-06-09,iron condor 16/5,3324348284.3299527,0.214,2.786,21.4,7.681263460157932,False,2018-2026
2021-06-11,put spread 16/5,4792295863.338831,0.102,2.898,10.2,3.519668737060041,False,2018-2026
2021-06-11,iron condor 16/5,4792295863.338831,0.144,2.856,14.399999999999999,5.042016806722689,False,2018-2026
2021-06-14,put spread 16/5,6539972743.427235,0.142,3.858,14.2,3.68066355624676,False,2018-2026
2021-06-14,iron condor 16/5,6539972743.427235,0.17399999999999996,3.826,17.399999999999995,4.5478306325143745,False,2018-2026
2021-06-16,put spread 16/5,4678399447.442353,0.262,4.7379999999999995,26.200000000000003,5.529759392148587,False,2018-2026
2021-06-16,iron condor 16/5,4678399447.442353,0.39399999999999996,4.606,39.4,8.554059921841075,False,2018-2026
2021-06-18,put spread 16/5,2448509813.65949,0.34199999999999997,4.658,-365.8,-78.53155860884499,False,2018-2026
