date,sym,t,brk,rt_vwap,rt_mid,rnd
2026-08-07,HNGE,10:29,0.720688455131846,,,0.5576640164701571
2026-08-10,CLMT,10:14,4.894943431078258,,,2.9765905116314677
2026-08-10,SPCX,11:04,-4.605826120816115,3.9835113359565355,3.9835113359565355,4.0135187396357495
2026-08-11,CRCL,10:04,-0.4614093959731558,0.03203723063434083,,-0.9253254259390239
2026-08-12,SPCX,10:14,5.077619663648147,,,5.7628761760498035
2026-08-12,DK,11:09,2.704354469060344,,,0.8570457903674759
2026-08-12,CBRS,11:14,3.5064165844027606,,,4.572865030587832
2026-08-13,IREN,09:54,-5.883212945458139,-5.970782781753215,-3.885787891799042,-5.043631898417356
2026-08-14,AAOI,09:49,3.8960141044698915,,,0.701802920248662
2026-08-14,LITE,09:54,-1.3183095590096117,,,-0.48443682990595427
2026-08-14,TSLA,09:54,-2.216052789770029,-2.23117998572937,-2.2469532197090802,-0.21188198464721456
2026-08-14,DRAM,10:04,-2.0591250854408827,-0.8047767393561833,-0.4429390307451819,-1.0254659626946012
2026-08-14,SNDK,10:04,-0.6907542593791005,1.5592102821657905,2.6949152542372845,0.820329045958316
2026-08-17,SMTC,09:49,1.9366779033644033,,,1.6028001125946674
2026-08-17,SPCX,09:54,-1.0615524570593782,,,-1.2517760281329005
2026-08-17,WDC,09:54,-0.8397843197099575,,,-0.9489183029133449
2026-08-17,DK,10:04,0.7491759065028525,,,0.6847323466545374
2026-08-17,COHR,10:14,2.2380577594488527,3.002112924052125,,-0.4458504127634155
2026-08-17,CBRS,10:44,-1.1726409914503022,,,0.6435929740138402
2026-08-17,MRVL,10:59,-1.8635210283181936,,,-1.0127693170267331
2026-08-18,IBIT,10:29,-0.5977448716206979,,,-0.13266262761786698
2026-08-18,BBY,10:34,-0.7732544916988826,-0.3198537811286317,,-0.565553006333519
2026-08-19,IBIT,10:09,4.725897920604916,,,4.508351698578417
2026-08-19,BMNR,10:54,3.4006647916133836,,,1.615435599762649
2026-08-20,DE,10:24,0.7169854169708056,,,-0.9676448135659451
