entry,h,expiry,K,mid,ratio,short,fly,vix,episode,direction,POST,DOWN,UP,vdec,cl,half
2019-11-19,1,2019-11-20,312.0,1.1400000000000001,1.0614035087719118,-7.843137254900105,-13.770053475934436,12.859999656677246,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-19,5,2019-11-27,312.5,3.025,0.9719008264462803,2.146779830254699,-11.650064963187445,12.859999656677246,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-19,10,2019-12-06,312.5,4.93,0.47261663286003736,52.56514657980489,31.651218674905877,12.859999656677246,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-20,5,2019-11-27,311.0,3.025,1.4677685950413215,-47.778332501248045,-54.95885664789946,12.779999732971191,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-20,10,2019-12-06,311.0,5.04,0.7599206349206318,23.659557504485072,7.14595814882376,12.779999732971191,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-21,1,2019-11-22,310.0,1.46,0.6643835616438544,32.732316227459975,18.298368298366725,13.130000114440918,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-21,5,2019-12-02,310.0,3.8099999999999996,0.4199475065616858,57.75019804594606,37.30959021669121,13.130000114440918,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-21,10,2019-12-09,311.0,5.365,0.5349487418452944,46.2496488435246,25.686016850892706,13.130000114440918,102.0,UP,1,0,1,1,e102,2018-2026
2019-11-22,1,2019-11-25,311.0,1.2200000000000002,1.9262295081967395,-95.5074875208005,-89.83739837398528,12.34000015258789,,,0,0,0,1,d20191122,2018-2026
2019-11-22,5,2019-12-02,311.0,2.99,0.20066889632107782,79.7775530839224,56.02427044206816,12.34000015258789,,,0,0,0,1,d20191122,2018-2026
