entry,expiry,dte,spot,strike,credit,settle,iv30,rv30,ivp,ff,ret_gross,ret,fly_ret,log_ivrv
2021-04-30,2021-05-28,28,337.99,338.0,14.94,4.07,0.19949139896799115,0.15155387722991692,0.04780876494023904,-0.06652738733296151,0.7275769745649269,0.7246987951807234,1.1954499494438848,0.2748299354484068
2021-05-07,2021-06-07,31,334.2,334.0,14.63,2.6,0.18776449731386077,0.14550778015314525,0.0,-0.15530520854172405,0.8222829801777155,0.8190020505809964,1.3910679611650432,0.25495894669085706
2021-05-14,2021-06-14,31,326.39,326.0,16.135,18.51,0.21203508260846202,0.19170447824099648,0.07171314741035857,-0.07379381489676959,-0.1471955376510687,-0.15001549426712074,-1.0167502507522568,0.10079673453157399
2021-05-21,2021-06-21,31,327.01,327.0,15.97,17.36,0.20946886563605951,0.1979358673887948,0.11155378486055777,-0.09025478575184599,-0.08703819661866091,-0.09004383218534846,-1.0173020527859238,0.05663203945238862
2021-05-28,2021-06-28,31,333.93,334.0,13.485,19.71,0.1732092621410501,0.2006813363815608,0.0,-0.14571536722422887,-0.4616240266963278,-0.4649981460882447,-0.8114285714285714,-0.14721778759670934
2021-06-04,2021-07-02,28,335.6,336.0,12.85,22.64,0.1728059154562047,0.20044767780166287,0.00398406374501992,-0.11561461087288634,-0.7618677042801546,-0.7648249027237344,-1.0161731207289293,-0.14838416534763896
2021-06-11,2021-07-12,31,341.24,341.0,11.93,21.42,0.14995332798514388,0.14217702962649587,0.0,-0.23740539350605697,-0.7954735959765311,-0.7990779547359611,-1.0181084198385237,0.05325113027215329
2021-06-18,2021-07-19,31,342.63,345.0,13.68,9.67,0.1712522591734086,0.13472287304936195,0.00796812749003984,-0.19835467161096415,0.2931286549707591,0.28815789473684095,-0.07931034482758915,0.23991779296318644
2021-06-25,2021-07-26,31,349.46,350.0,12.27,18.49,0.15059920819112935,0.1110521920044466,0.01195219123505976,-0.22962720282902557,-0.506927465362674,-0.511246943765282,-1.0220973782771534,0.3046217686149078
2021-07-02,2021-08-02,31,358.64,358.0,13.0,6.6,0.1554748780251558,0.10581121109189086,0.01195219123505976,-0.1587282313075854,0.49230769230769056,0.48938461538461364,0.40957683741647594,0.38482768369735265
2021-07-09,2021-08-09,31,361.01,362.0,14.225,6.73,0.16900853660063714,0.10014312398836477,0.06772908366533864,-0.17087179624689133,0.5268892794376085,0.5240421792618617,0.5145263157894698,0.523348823453007
2021-07-16,2021-08-16,31,357.6,358.0,15.165,10.98,0.18189489180351776,0.09975719078425525,0.11155378486055777,-0.14422299408427938,0.2759643916913934,0.27329376854599285,-0.08351851851852196,0.600689861451742
2021-07-23,2021-08-23,31,368.2,368.0,12.955,5.23,0.1509138961586036,0.10331031427656236,0.0,-0.25899114374938453,0.5962948668467759,0.593940563488999,0.6916666666666631,0.3789722311303813
2021-07-30,2021-08-30,31,364.57,365.0,14.33,15.26,0.16859351310676163,0.10837612642359383,0.11155378486055777,-0.18603336101987936,-0.0648988136775988,-0.06755059316119963,-1.0127413127413127,0.44188274097336555
2021-08-06,2021-09-03,28,368.05,368.0,12.62,13.57,0.1547497522522012,0.10328970406176041,0.01593625498007968,-0.1821699968364891,-0.07527733755942885,-0.07789223454833535,-1.0133105802047782,0.4042716097138547
2021-08-13,2021-09-13,31,368.82,369.0,12.4,7.33,0.14420583047834035,0.10066742893851299,0.0,-0.279442474102829,0.40887096774193676,0.4058064516129045,0.18837209302326013,0.3594193563940629
2021-08-20,2021-09-20,31,367.73,368.0,13.815,2.3,0.1611377984625053,0.09756765811166297,0.06772908366533864,-0.23506966493829687,0.8335142960550118,0.8309446254071653,1.4389937106918227,0.5017138232934758
2021-08-27,2021-09-27,31,376.04,376.0,11.97,5.65,0.13653239380255253,0.101533793465222,0.0,-0.2681208748190764,0.527986633249793,0.5248120300751898,0.47741176470588714,0.2961702200910537
2021-09-03,2021-10-04,31,381.57,380.0,13.17,27.38,0.1480427525260179,0.10249013704282835,0.0199203187250996,-0.16811389286875678,-1.0789673500379648,-1.081852695520121,-1.0129515418502202,0.36773453049247323
2021-09-10,2021-10-11,31,376.59,376.0,15.67,17.61,0.1784743509458234,0.10507720991928025,0.22310756972111553,-0.11768601367269826,-0.123803446075304,-0.1278238672622855,-1.0220876048462255,0.5297494862171536
2021-09-17,2021-10-18,31,373.83,374.0,14.76,1.35,0.1693510154477749,0.10497803184215637,0.22709163346613545,-0.17645192633005433,0.9085365853658521,0.9059620596205946,1.8653758542141174,0.4782224676775009
2021-09-24,2021-10-25,31,373.33,373.0,13.8,4.93,0.15854837471451283,0.12386118641240114,0.04780876494023904,-0.22932006269141592,0.6427536231884053,0.6399999999999995,0.9520607375271137,0.2468982758778399
2021-10-01,2021-11-01,31,360.18,360.0,17.925,27.43,0.2134593432599583,0.14867880576778483,0.46215139442231074,-0.06359662410805185,-0.5302649930264997,-0.533082287308229,-1.0161939615736504,0.3616580716738445
2021-10-08,2021-11-08,31,361.16,362.0,16.13,36.06,0.19156242287931458,0.1783944492679102,0.3386454183266932,-0.10406672712838075,-1.2355858648481093,-1.2382517048977064,-1.014397649363369,0.07121661785011212
2021-10-15,2021-11-15,31,368.94,369.0,12.975,25.61,0.1508437155839121,0.19435387124261572,0.09561752988047809,-0.22594031129481254,-0.9737957610789989,-0.9769171483622359,-1.015883668903803,-0.2534362713189578
2021-10-22,2021-11-22,31,374.1,374.0,13.425,25.3,0.1539225269205261,0.17736350179778665,0.0796812749003984,-0.2254543849620443,-0.8845437616387345,-0.8875605214152708,-1.0168,-0.14175190523827402
2021-10-29,2021-11-29,31,386.11,386.0,13.785,13.69,0.15313389147061993,0.14126925876809046,0.23107569721115537,-0.22261165048176104,0.00689154878491131,0.003953572723975489,-0.95031185031185,0.08064494036689131
2021-11-05,2021-12-06,31,398.6,398.0,15.815,11.8,0.17017960065651044,0.10944996630024967,0.2549800796812749,-0.17586889489346094,0.2538729054694903,0.25067973442933855,-0.2467520585544394,0.4413868377559839
2021-11-12,2021-12-13,31,394.7,395.0,15.885,2.74,0.17262181996058384,0.11236067682208457,0.3107569721115538,-0.17216462698341878,0.8275102297765181,0.8246458923512742,1.4441558441558422,0.42938916398733906
2021-11-19,2021-12-20,31,403.99,404.0,16.475,23.31,0.17491635007153025,0.11173466675316117,0.3346613545816733,-0.15805175113636621,-0.41487101669195753,-0.4179362670713202,-1.016777251184834,0.4481808462370866
2021-11-26,2021-12-27,31,391.2,391.0,21.075,12.48,0.23107041030023986,0.1382707352944324,0.6533864541832669,-0.06089635696170381,0.407829181494661,0.403534994068801,0.31160784313725176,0.5135088573697874
