kind,ticker,date,beaten,n_buyers,value,officer,ex20,ex60,ex120
SINGLE,ALLY,2019-05-06,False,1,148550.0,False,2.324735368605557,8.024110181439084,-2.0859583761923615
SINGLE,ALLY,2022-10-28,True,1,54860.0,False,-9.967538747221102,1.8865152072838018,-15.54139455554042
SINGLE,ALLY,2025-04-24,False,1,252642.0,True,-2.418376980288264,3.2850783030922344,3.5934138033655714
CLUSTER,ALNY,2015-01-29,False,3,1891023127.0,True,-0.46612144233140107,4.72920144118903,39.710606680322215
SINGLE,ALNY,2015-05-14,False,1,224320.0,False,15.100864064106629,5.873066634281164,5.2966909602942
SINGLE,ALNY,2016-10-17,True,1,1032300.0,False,26.620362307929184,-8.698892018352298,15.914312587184543
SINGLE,ALV,2010-06-01,False,1,144300.0,False,3.203515901946803,13.87665179638869,41.764707689359255
SINGLE,AMAT,2011-08-30,True,1,109800.0,False,-3.404525397763848,-9.207845212306028,0.34099791692949566
SINGLE,AMAT,2025-04-08,True,1,6865081.789999999,True,7.429121511525507,23.948128710035594,30.0512299736869
SINGLE,AMBA,2022-03-14,True,1,1014912.9999999999,False,-5.911549602767873,6.428942305003767,-11.301152908954112
CLUSTER,AMCR,2020-03-19,True,3,1185100.0,True,0.4103058848018897,14.918546681803615,13.635128297123643
CLUSTER,AMCR,2025-02-21,False,3,2403800.0,True,-4.731078021655559,-8.141417406675053,-15.827043330709355
CLUSTER,AMCR,2025-11-13,False,3,1663048.72,True,-5.695179688171094,10.147609110489869,-9.875197267896311
SINGLE,AMCR,2025-08-22,False,1,85500.0,False,-3.1904698914126564,2.2883036265662042,11.99301692656681
SINGLE,AMD,2011-02-16,False,1,99000.0,False,0.6989984325657996,3.7610695980734627,-10.609921851598976
