ticker,entry_date,roc_net,roc,credit_pct_of_width,vix_on_entry,max_loss,entry,month,cw
SPY,2022-09-23,0.16604229607250756,0.17220543806646527,0.17250000000000001,29.92,827.5,2022-09-23,2022-09,0.17250000000000001
SPY,2022-09-30,0.15424836601307196,0.15837104072398192,0.17125,31.62,994.5,2022-09-30,2022-09,0.17125
SPY,2022-10-07,0.12984356197352592,0.13537906137184122,0.16900000000000004,31.36,830.9999999999999,2022-10-07,2022-10,0.16900000000000004
SPY,2022-10-14,0.1051094890510949,0.11070559610705599,0.17800000000000002,32.02,821.9999999999999,2022-10-14,2022-10,0.17800000000000002
SPY,2022-10-21,0.12266340867440438,0.12767257177764202,0.1815,29.69,818.5,2022-10-21,2022-10,0.1815
SPY,2022-11-04,0.19738662567255957,0.20522674865488091,0.186875,24.55,650.5,2022-11-04,2022-11,0.186875
SPY,2022-12-16,0.12857142857142853,0.13541666666666663,0.15999999999999998,22.62,672.0000000000001,2022-12-16,2022-12,0.15999999999999998
SPY,2022-12-23,0.16589030803906846,0.17205108940646138,0.16812500000000002,20.87,665.4999999999999,2022-12-23,2022-12,0.16812500000000002
SPY,2022-12-30,0.13734034560480848,0.1435011269722014,0.16812500000000002,21.67,665.4999999999999,2022-12-30,2022-12,0.16812500000000002
SPY,2023-01-06,0.15072024260803632,0.15693707354056097,0.17562499999999998,21.13,659.5000000000001,2023-01-06,2023-01,0.17562499999999998
SPY,2023-02-24,0.16315789473684206,0.16873065015479874,0.19249999999999998,21.67,646.0,2023-02-24,2023-02,0.19249999999999998
SPY,2023-03-10,0.13120879120879111,0.1362637362637362,0.17272727272727267,24.8,910.0000000000001,2023-03-10,2023-03,0.17272727272727267
SPY,2023-03-17,0.10885668276972625,0.1143317230273752,0.1531818181818182,25.51,931.5,2023-03-17,2023-03,0.1531818181818182
SPY,2023-03-24,0.0926192031352057,0.0979751796211626,0.1494444444444444,21.74,765.5,2023-03-24,2023-03,0.1494444444444444
