day,entry,K,S_prev,S_t,mid,ba_pct,implied_pct,ratio,gex,vix,long_mid,long_fill,short_fill,short_usd,NEG,half,yr
2013-01-25,2013-01-24,149.5,149.39,150.2,0.69,5.797101449275368,0.46187830510743694,1.014492753623172,3671029910.1782165,12.6899995803833,1.4492753623172008,-1.82328190743497,-4.947526236879867,-3.2999999999988705,0.0,2010-2017,2013
2013-02-01,2013-01-31,150.0,149.81,151.22,1.105,4.524886877828049,0.7376009612175422,1.1040723981900442,-96933057.39424859,14.279999732971191,10.407239819004424,7.916850950906594,-13.015284854099002,-14.049999999999873,1.0,2010-2017,2013
2013-02-08,2013-02-07,151.0,150.94,151.78,0.7949999999999999,6.289308176100635,0.5266993507353915,0.9811320754716997,659177426.367097,13.5,-1.886792452830037,-4.936014625228369,-1.3645224171541488,-1.0500000000001175,0.0,2010-2017,2013
2013-02-22,2013-02-21,150.5,150.41,151.84,0.955,9.42408376963351,0.6349311880858985,1.4031413612565482,-4526791082.95049,15.220000267028809,40.31413612565481,35.28520949015684,-45.731375747689334,-42.050000000000345,1.0,2010-2017,2013
2013-03-01,2013-02-28,151.5,151.61,152.13,1.115,6.278026905829597,0.7354396148011344,0.5650224215246596,-1971293845.7887585,15.510000228881836,-43.49775784753404,-45.00218245307765,41.90871369294648,45.45000000000046,1.0,2010-2017,2013
2013-03-08,2013-03-07,155.0,154.79,155.44,0.935,7.486631016042769,0.6040441889010918,0.4705882352941152,2410645652.2577653,13.0600004196167,-52.94117647058848,-54.42775763852949,51.35433941404116,46.45000000000024,0.0,2010-2017,2013
2013-03-22,2013-03-21,154.5,154.36,155.51,1.055,6.6350710900474,0.6834672194869137,0.9573459715639725,-3632025265.8704934,13.989999771118164,-4.265402843602752,-6.9553201289736535,1.4153245485611579,1.4500000000009061,1.0,2010-2017,2013
2013-03-28,2013-03-27,156.0,156.13,156.59,0.72,11.111111111111112,0.46115416639979506,0.8194444444444492,568016479.0647935,13.149999618530273,-18.055555555555078,-21.646746347941114,14.119359534206191,9.699999999999653,0.0,2010-2017,2013
2013-04-05,2013-04-04,156.0,155.85,155.19,0.9450000000000001,3.174603174603177,0.606352261790183,0.8571428571428595,-1592517378.9903708,13.890000343322754,-14.285714285714052,-16.105644743655915,12.385073012438909,11.449999999999772,1.0,2010-2017,2013
2013-04-12,2013-04-11,159.0,159.21,158.8,0.8,7.5,0.5024809999371899,0.2499999999999858,4057560514.202558,12.239999771118164,-75.00000000000142,-75.8454106280207,74.09326424870613,57.20000000000114,0.0,2010-2017,2013
2013-04-26,2013-04-25,158.5,158.55,158.24,0.89,6.741573033707871,0.5613371176285084,0.29213483146066394,1082567401.7905853,13.619999885559082,-70.7865168539336,-71.67755991285503,69.83758700696161,60.200000000000905,0.0,2010-2017,2013
2013-05-03,2013-05-02,159.5,159.72,161.38,1.21,3.305785123966945,0.7575757575757576,1.5537190082644592,2584375257.048662,13.59000015258789,55.37190082644591,52.47364152473606,-58.38247683235007,-69.29999999999954,0.0,2010-2017,2013
2013-05-10,2013-05-09,163.0,162.88,163.45,0.855,5.847953216374261,0.524926326129666,0.526315789473671,2202142714.7082453,13.130000114440918,-47.36842105263291,-48.89267461669635,45.750452079567374,37.95000000000114,0.0,2010-2017,2013
2013-05-24,2013-05-23,165.5,165.43,165.32,1.1150000000000002,6.2780269058295906,0.6740010880735056,0.16143497757848144,-2791313229.9086742,14.069999694824219,-83.85650224215185,-84.28633784373577,83.4024896265554,90.44999999999933,1.0,2010-2017,2013
2013-05-31,2013-05-30,166.0,165.82,163.44,0.9850000000000001,3.0456852791878197,0.5940176094560368,2.598984771573606,-1378576773.5888002,14.529999732971191,159.89847715736062,154.59970164097484,-165.42249870399192,-159.5500000000002,1.0,2010-2017,2013
2013-06-07,2013-06-06,163.0,162.7,164.8,1.5699999999999998,5.09554140127389,0.9649661954517518,1.1464968152866315,-3763500976.6533756,16.6299991607666,14.649681528663155,12.289457267623932,-17.11125569290901,-26.300000000001145,1.0,2010-2017,2013
2013-06-14,2013-06-13,164.0,164.21,163.18,1.1199999999999999,3.571428571428565,0.68205346812009,0.7321428571428511,-1842158990.4906971,16.40999984741211,-26.785714285714885,-28.258967629046953,25.250683682771815,27.700000000000678,1.0,2010-2017,2013
2013-06-28,2013-06-27,161.0,161.13,160.2,1.195,4.184100418410045,0.7416371873642401,0.6694560669456162,-2503251989.784291,16.860000610351562,-33.05439330543838,-34.453092994673376,31.594698589139696,36.94999999999888,1.0,2010-2017,2013
2013-07-05,2013-07-02,161.0,161.16,163.0,1.8599999999999999,3.2258064516129066,1.154132539091586,1.0752688172043012,-3117283400.0984187,16.440000534057617,7.526881720430115,5.932203389830514,-9.170305676855904,-16.800000000000015,1.0,2010-2017,2013
2013-07-12,2013-07-11,167.5,167.42,167.7,1.05,5.714285714285708,0.6271652132361726,0.19047619047617964,2040442622.9343548,14.010000228881836,-80.95238095238204,-81.44712430426821,80.43052837573498,82.20000000000115,0.0,2010-2017,2013
2013-07-26,2013-07-25,169.0,168.95,169.13,0.885,3.3898305084745792,0.5238236164545723,0.1468926553672265,-1836016315.7021732,12.970000267028809,-85.31073446327736,-85.64329099944831,84.96240601503811,73.45000000000044,1.0,2010-2017,2013
2013-08-02,2013-08-01,170.5,170.66,170.93,1.195,4.184100418410036,0.7002226649478496,0.3598326359832693,1751696426.3068924,12.9399995803833,-64.01673640167307,-64.76853748463688,63.23215049166253,73.94999999999933,0.0,2010-2017,2013
