date,exit_date,sym,dec_entry,dec_exit,base,exit_gain,entry_gain
2021-03-04,2021-03-22,CVE,10.0,9.0,-0.34357893483909496,-3.1859577116832587,-3.053450643092571
2021-03-04,2021-03-18,DVN,8.0,9.0,-4.167671553026542,0.1714276546848071,-3.810308982432181
2021-03-04,2021-03-18,MUR,9.0,9.0,-8.497081075579427,0.2655645760755187,-3.5581715475812645
2021-03-04,2021-03-09,OVV,10.0,10.0,-5.787524078588424,0.7326169574529419,-3.3699740326090986
2021-03-04,2021-03-16,OXY,7.0,9.0,-5.754294293016205,-0.4349448742877308,-5.652170491367862
2021-03-05,2021-04-09,BFH,9.0,10.0,5.8409832071455,0.8578609963753623,-1.204855930366057
2021-03-05,2021-05-11,CAR,10.0,10.0,31.397403166935888,-1.780848690609149,-0.1925211506864468
2021-03-05,2021-03-18,CVE,10.0,10.0,-3.982014831301972,0.7320174823175531,-1.7052221912625494
2021-03-05,2021-03-16,EOG,4.0,6.0,-5.269528611557939,0.9788023678853752,-1.2335792609318221
2021-03-05,2021-03-23,GAP,9.0,9.0,2.05053888720792,1.1717435678317543,-1.9406931739679802
2021-03-05,2021-03-18,HAL,10.0,9.0,-7.005031769784598,-0.587239830568855,-0.4614121395088318
2021-03-05,2021-03-23,LYFT,8.0,9.0,-3.9925160069140486,1.2632525325912085,-1.9026723940270363
2021-03-05,2021-03-08,MUR,9.0,9.0,-6.133765010241888,-0.35192604076460543,-0.9552214103184499
2021-03-05,2021-03-23,URBN,8.0,8.0,-2.1060974038395686,1.0930414976231617,0.0
2021-03-08,2021-03-17,ARMK,9.0,9.0,-3.696684278785922,-0.710875731192067,-0.6635340550095701
2021-03-08,2021-03-22,CF,7.0,7.0,-5.46594110561347,-1.754707917274778,0.22187272142807918
2021-03-08,2021-03-23,GAP,9.0,9.0,-3.497230528533757,1.1080441185236636,-0.5886386171050252
2021-03-08,2021-03-09,HAL,10.0,10.0,-3.6535168080394587,-0.20525840141834417,1.1904606359180618
2021-03-08,2021-03-24,SGI,10.0,10.0,-1.4824921397575075,-1.2937782758808416,-1.1859699671669381
2021-03-08,2021-03-19,VAC,8.0,8.0,-3.4432104034020306,-0.4826069095321967,-1.5887744764369411
2021-03-09,2021-04-09,BFH,9.0,10.0,2.2725080109551987,0.8289378364180019,-0.5588100789642546
2021-03-10,2021-03-16,AA,9.0,9.0,-7.692325556070578,2.032525918489522,-1.0006192621732655
2021-03-10,2021-03-23,BA,10.0,10.0,-1.6670727965030774,1.0189940642849422,-1.3980630903109612
2021-03-10,2021-03-18,CZR,10.0,10.0,-7.917472267356196,0.914728662935224,-1.6261799817527276
2021-03-10,2021-03-18,ET,10.0,10.0,-9.440546213224854,0.9323829753848308,-0.34962459400343004
2021-03-10,2021-03-23,GAP,9.0,9.0,-7.5621790463358485,1.0613704083087057,0.6965205292073862
2021-03-11,2021-03-23,BA,10.0,10.0,-4.265873015873012,0.9920634920634921,-0.7380954802982391
2021-03-11,2021-03-18,BOX,2.0,3.0,-5.803568121425906,0.5803534061628308,1.4285700905079517
2021-03-12,2021-03-23,AER,10.0,10.0,-6.909556397253347,1.5427567860819187,-0.18053716197377045
2021-03-12,2021-03-22,BA,10.0,10.0,-6.6718698878040605,-0.7318255517798916,-1.8425615402108966
2021-03-12,2021-03-16,BOX,2.0,3.0,-5.058874103679245,-0.5669475202139025,-0.3052755948215943
2021-03-12,2021-03-23,LYFT,9.0,9.0,-7.247252032905371,1.2204271885998434,0.060269570396249146
2021-03-12,2021-03-23,UAL,10.0,10.0,-3.4286734300681077,2.3094674292356387,-3.481966694962336
2021-03-15,2021-03-22,ALK,10.0,10.0,-4.751327644958225,-1.3337024724939566,-0.5973885594913088
2021-03-15,2021-03-23,BFH,9.0,10.0,-8.686610280235563,1.6179169820515016,-0.36338151695570686
2021-03-15,2021-03-23,SGI,10.0,10.0,-5.9770532616981615,1.277150788213695,-0.6385739505276745
2021-03-15,2021-03-23,THO,8.0,9.0,-10.05445986935819,1.8175475253855784,-0.006819292590987189
2021-03-17,2021-03-22,BLDR,9.0,10.0,-5.536844353926806,-1.0947378058182566,0.5263157894736842
2021-03-17,2021-03-22,EXPE,9.0,9.0,-6.574183167262726,-1.5382979722973524,0.6854856000561321
2021-03-17,2021-04-20,PHM,7.0,7.0,2.98098229599304,-0.019626088974196675,0.8629042636130307
2021-03-17,2021-03-18,THO,8.0,8.0,-6.2089465714942556,0.6832964547277731,0.7490276572468503
2021-03-17,2021-03-22,UAL,10.0,10.0,-6.597276031307519,-1.9535647811026557,0.44836283518559433
2021-03-22,2021-03-24,WSM,9.0,9.0,-7.872235562350538,-0.688869969783428,-0.1666524969366625
2021-03-23,2021-04-26,SFM,3.0,3.0,-1.159648761797527,0.03865569600859848,0.5798280673088344
2021-03-26,2021-04-19,AMAT,9.0,9.0,1.7490597325198198,-1.173800543924374,1.2437833132384397
2021-03-26,2021-04-08,SFM,4.0,3.0,-7.0815436590479175,-0.2861227694048172,0.2145903716273832
2021-03-31,2021-04-19,AMAT,9.0,9.0,-2.0284622281719678,-1.130222182180269,-3.3981950113774833
2021-03-31,2021-04-19,ENTG,7.0,8.0,1.207518541907504,0.19678624586344046,-1.5652958680195712
2021-03-31,2021-04-20,LRCX,8.0,8.0,2.9887277527360867,1.1003924288880114,-2.686319357118415
2021-04-01,2021-04-12,AMAT,9.0,9.0,-4.6071402955018765,1.1518182788634275,-2.81231249981092
2021-04-01,2021-04-19,ENTG,7.0,8.0,-5.778989554800573,0.1832017936423693,-3.255897368606831
2021-04-01,2021-04-20,LRCX,8.0,8.0,-4.109171955735569,1.0245542738720501,-1.6267914399911587
2021-04-01,2021-04-20,QRVO,10.0,10.0,-4.639708258904873,-0.3888025006379582,-2.768279816299678
2021-04-05,2021-04-12,AMKR,10.0,10.0,-6.103091211657963,0.5686118997122516,-1.40258422731123
2021-04-05,2021-04-08,KBH,9.0,8.0,-3.2633134990003643,0.06116765335236434,-0.32632456119508363
2021-04-05,2021-04-19,LRCX,8.0,8.0,-5.912532908387458,-0.7551473918616672,0.12108719024804142
2021-04-08,2021-04-26,SAM,6.0,8.0,-2.8438478189894423,-1.1125024640209689,-0.46768103117607635
2021-04-09,2021-05-11,FND,8.0,9.0,-2.7693459091172046,-0.855644755070399,-0.8188419998685967
2021-04-09,2021-05-12,YETI,9.0,9.0,3.063288821449772,0.7341795329806171,0.49367011347903483
2021-04-12,2021-04-14,FND,8.0,8.0,-6.744660539619907,1.0724089912578756,-0.3101998302234913
2021-04-12,2021-05-12,YETI,9.0,9.0,-3.3934511767626074,0.6881844321966971,-0.616996060741134
2021-04-15,2021-05-12,AEO,10.0,10.0,-1.1943252098986057,0.9904098059995122,-0.7864738048930583
2021-04-16,2021-05-11,RH,10.0,10.0,2.9834503823138236,-1.2592577201536643,0.8479125110815603
2021-04-16,2021-04-20,YETI,9.0,9.0,-4.123942290453108,-0.8293989643498711,1.2786552719372564
2021-04-19,2021-04-20,AA,9.0,9.0,-8.465172517105302,-1.1379404476363735,0.3330598372484229
2021-04-19,2021-05-12,AEO,10.0,10.0,-3.5267566514055493,0.9670299447071578,0.39817869060797684
2021-04-19,2021-05-11,RH,10.0,10.0,1.869230199042704,-1.245633294456852,-0.0436468353475233
2021-04-21,2021-05-11,RH,10.0,10.0,-0.543380110231162,-1.21613245576484,-0.4185692541856925
2021-04-22,2021-04-26,AEO,10.0,10.0,-3.4773387765712704,0.3803627083685803,-4.292147583137263e-06
2021-04-22,2021-06-18,THC,8.0,8.0,17.354930486003827,1.1213906194299683,-0.035600672223259605
2021-04-23,2021-04-30,HUBS,10.0,10.0,-6.761948948091312,1.9251536445434811,0.40203664552349405
2021-04-23,2021-05-11,RH,10.0,10.0,-5.023328543896444,-1.1613526864908426,0.0
2021-04-26,2021-05-19,FCX,10.0,10.0,4.276571107316518,0.7682671019517164,1.2804098668803983
2021-04-27,2021-04-30,CZR,10.0,10.0,-3.8616492432040683,0.8253945121284287,-1.3363473078626846
2021-04-27,2021-05-11,RH,10.0,10.0,-8.276368388143796,-1.1215752705795627,0.3074162181353721
2021-05-04,2021-06-02,CROX,10.0,10.0,-3.5486985665125093,-0.5496622098346945,-0.9643201826699291
2021-05-05,2021-05-12,CROX,10.0,10.0,-7.907111333065253,0.9684151962962289,0.3948835713944476
2021-05-05,2021-05-19,FCX,10.0,10.0,-1.9739948010110808,0.7222154903101431,-1.1073645917231467
2021-05-06,2021-05-10,URBN,7.0,7.0,-3.8481194486265635,-2.6248693558596186,0.33129730518480915
2021-05-07,2021-05-12,CLF,10.0,10.0,-5.445082766013032,0.04734956668779621,-4.024613827392
2021-05-07,2021-05-10,CROX,10.0,10.0,-4.305907905669526,-2.3136286401255446,0.3856024384923834
