trade_date,expiry,year,short_delta,settle,sp,sc,put_cr,call_cr,net_cr,put_w,call_w,pnl_A,max_loss_A,win_A,pnl_B,win_B,roc_A
2022-02-24,2022-02-25,2022,0.15,4384.64990234375,4190.0,4350.0,4.4750000000000005,4.300000000000001,8.775000000000002,50.0,50.0,-26.17490234375,41.224999999999994,False,-0.12499999999999928,False,-0.6349278919041844
2022-02-24,2022-02-25,2022,0.2,4384.64990234375,4205.0,4335.0,6.05,6.425000000000001,12.475000000000001,50.0,50.0,-37.474902343749996,37.525,False,-0.675,False,-0.9986649525316454
2022-03-01,2022-03-02,2022,0.1,4386.5400390625,4160.0,4400.0,2.925,3.474999999999999,6.399999999999999,50.0,50.0,6.099999999999999,43.6,True,6.099999999999999,True,0.1399082568807339
2022-03-01,2022-03-02,2022,0.12,4386.5400390625,4175.0,4390.0,3.875000000000001,4.300000000000001,8.175,50.0,50.0,7.875000000000001,41.825,True,7.875000000000001,True,0.1882845188284519
2022-03-01,2022-03-02,2022,0.15,4386.5400390625,4190.0,4380.0,4.949999999999999,5.300000000000001,10.25,50.0,50.0,3.4099609375,39.75,True,3.4099609375,True,0.08578518081761007
2022-03-01,2022-03-02,2022,0.2,4386.5400390625,4210.0,4365.0,6.75,7.275,14.025,50.0,50.0,-7.8150390624999995,35.975,False,-0.8250000000000004,False,-0.21723527623349545
2022-03-03,2022-03-04,2022,0.1,4328.8701171875,4245.0,4435.0,2.5749999999999997,2.475,5.05,50.0,50.0,4.75,44.95,True,4.75,True,0.10567296996662959
2022-03-03,2022-03-04,2022,0.12,4328.8701171875,4255.0,4425.0,3.2000000000000006,3.3,6.5,50.0,50.0,6.2,43.5,True,6.2,True,0.1425287356321839
2022-03-03,2022-03-04,2022,0.15,4328.8701171875,4265.0,4415.0,4.0,4.3999999999999995,8.399999999999999,50.0,50.0,8.099999999999998,41.6,True,8.099999999999998,True,0.1947115384615384
2022-03-03,2022-03-04,2022,0.2,4328.8701171875,4285.0,4405.0,5.9,5.6499999999999995,11.55,50.0,50.0,11.25,38.45,True,11.25,True,0.29258777633289984
2022-03-08,2022-03-09,2022,0.1,4277.8798828125,4070.0,4280.0,2.9749999999999996,2.7,5.675,50.0,50.0,5.375,44.325,True,5.375,True,0.1212633953750705
2022-03-08,2022-03-09,2022,0.12,4277.8798828125,4080.0,4270.0,3.5999999999999996,3.45,7.05,50.0,50.0,-1.1298828125000002,42.95,False,-0.15000000000000052,False,-0.02630693393480792
2022-03-08,2022-03-09,2022,0.15,4277.8798828125,4090.0,4260.0,4.4750000000000005,4.3999999999999995,8.875,50.0,50.0,-9.3048828125,41.125,False,-0.22499999999999892,False,-0.22625854863221886
2022-03-08,2022-03-09,2022,0.2,4277.8798828125,4110.0,4245.0,6.3999999999999995,6.4,12.8,50.0,50.0,-20.3798828125,37.2,False,-0.3,False,-0.5478463121639785
2022-03-10,2022-03-11,2022,0.1,4204.31005859375,4155.0,4335.0,2.7,2.65,5.35,50.0,50.0,5.05,44.65,True,5.05,True,0.11310190369540873
2022-03-10,2022-03-11,2022,0.12,4204.31005859375,4165.0,4330.0,3.425,3.075,6.5,50.0,50.0,6.2,43.5,True,6.2,True,0.1425287356321839
2022-03-10,2022-03-11,2022,0.15,4204.31005859375,4175.0,4320.0,4.275,4.1000000000000005,8.375,50.0,50.0,8.075,41.625,True,8.075,True,0.19399399399399397
2022-03-10,2022-03-11,2022,0.2,4204.31005859375,4190.0,4305.0,5.674999999999999,5.975,11.649999999999999,50.0,50.0,11.349999999999998,38.35,True,11.349999999999998,True,0.2959582790091264
2022-03-15,2022-03-16,2022,0.1,4357.85986328125,4145.0,4355.0,3.1999999999999997,3.025,6.225,50.0,50.0,3.06513671875,43.775,True,3.06513671875,True,0.0700202562821245
